Source,Target,Weight
Blattodea (Horbylunde_2005) (Horbylunde_2005),Ericales (Horbylunde_2005) (Horbylunde_2005),1
Blattodea (Isen_Bjerg_2005) (Isen_Bjerg_2005),Ericales (Isen_Bjerg_2005) (Isen_Bjerg_2005),2
Blattodea (Menorca) (Menorca),Lamiales (Menorca) (Menorca),1
Blattodea (Skov_Olesen_2004) (Skov_Olesen_2004),Asterales (Skov_Olesen_2004) (Skov_Olesen_2004),1
Blattodea (SonDoblons) (SonDoblons),Malvales (SonDoblons) (SonDoblons),2
Coleoptera (AloeVera) (AloeVera),Apiales (AloeVera) (AloeVera),96
Coleoptera (AloeVera) (AloeVera),Asparagales (AloeVera) (AloeVera),8
Coleoptera (AloeVera) (AloeVera),Asterales (AloeVera) (AloeVera),41
Coleoptera (AloeVera) (AloeVera),Gentianales (AloeVera) (AloeVera),1
Coleoptera (AloeVera) (AloeVera),Lamiales (AloeVera) (AloeVera),2
Coleoptera (AloeVera) (AloeVera),Malvales (AloeVera) (AloeVera),158
Coleoptera (Anafi) (Anafi),Asterales (Anafi) (Anafi),1
Coleoptera (Aznalcazar) (Aznalcazar),Malvales (Aznalcazar) (Aznalcazar),2
Coleoptera (Bílá Hora) (Bílá Hora),Fabales (Bílá Hora) (Bílá Hora),2
Coleoptera (Bílá Hora) (Bílá Hora),Ranunculales (Bílá Hora) (Bílá Hora),14
Coleoptera (Běstvina) (Běstvina),Asterales (Běstvina) (Běstvina),23
Coleoptera (Běstvina) (Běstvina),Dipsacales (Běstvina) (Běstvina),3
Coleoptera (CanRefila) (CanRefila),Asparagales (CanRefila) (CanRefila),38
Coleoptera (CanRefila) (CanRefila),Asterales (CanRefila) (CanRefila),1
Coleoptera (CanRefila) (CanRefila),Malvales (CanRefila) (CanRefila),243
Coleoptera (CanRefila) (CanRefila),Poales (CanRefila) (CanRefila),2
Coleoptera (CanRefila) (CanRefila),Sapindales (CanRefila) (CanRefila),1
Coleoptera (CanVolaVola) (CanVolaVola),Asparagales (CanVolaVola) (CanVolaVola),9
Coleoptera (CanVolaVola) (CanVolaVola),Asterales (CanVolaVola) (CanVolaVola),2
Coleoptera (CanVolaVola) (CanVolaVola),Lamiales (CanVolaVola) (CanVolaVola),3
Coleoptera (CanVolaVola) (CanVolaVola),Malvales (CanVolaVola) (CanVolaVola),111
Coleoptera (Cap de Creus Natural Park) (Cap de Creus Natural Park),Apiales (Cap de Creus Natural Park) (Cap de Creus Natural Park),96
Coleoptera (Cap de Creus Natural Park) (Cap de Creus Natural Park),Asterales (Cap de Creus Natural Park) (Cap de Creus Natural Park),102
Coleoptera (Cap de Creus Natural Park) (Cap de Creus Natural Park),Brassicales (Cap de Creus Natural Park) (Cap de Creus Natural Park),2
Coleoptera (Cap de Creus Natural Park) (Cap de Creus Natural Park),Caryophyllales (Cap de Creus Natural Park) (Cap de Creus Natural Park),110
Coleoptera (Cap de Creus Natural Park) (Cap de Creus Natural Park),Dipsacales (Cap de Creus Natural Park) (Cap de Creus Natural Park),4
Coleoptera (Cap de Creus Natural Park) (Cap de Creus Natural Park),Fabales (Cap de Creus Natural Park) (Cap de Creus Natural Park),5
Coleoptera (Cap de Creus Natural Park) (Cap de Creus Natural Park),Lamiales (Cap de Creus Natural Park) (Cap de Creus Natural Park),2
Coleoptera (Cap de Creus Natural Park) (Cap de Creus Natural Park),Malvales (Cap de Creus Natural Park) (Cap de Creus Natural Park),105
Coleoptera (Cap de Creus Natural Park) (Cap de Creus Natural Park),Sapindales (Cap de Creus Natural Park) (Cap de Creus Natural Park),8
Coleoptera (Cap de Creus Natural Park) (Cap de Creus Natural Park),Saxifragales (Cap de Creus Natural Park) (Cap de Creus Natural Park),4
Coleoptera (Cap de Creus Natural Park) (Cap de Creus Natural Park),Solanales (Cap de Creus Natural Park) (Cap de Creus Natural Park),14
Coleoptera (CarrerBetlem) (CarrerBetlem),Asparagales (CarrerBetlem) (CarrerBetlem),247
Coleoptera (CarrerBetlem) (CarrerBetlem),Lamiales (CarrerBetlem) (CarrerBetlem),1
Coleoptera (CarrerBetlem) (CarrerBetlem),Malvales (CarrerBetlem) (CarrerBetlem),345
Coleoptera (Chios) (Chios),Apiales (Chios) (Chios),758
Coleoptera (Chios) (Chios),Asparagales (Chios) (Chios),14
Coleoptera (Chios) (Chios),Asterales (Chios) (Chios),475
Coleoptera (Chios) (Chios),Fabales (Chios) (Chios),123
Coleoptera (Chios) (Chios),Lamiales (Chios) (Chios),524
Coleoptera (Chios) (Chios),Malpighiales (Chios) (Chios),9
Coleoptera (Chios) (Chios),Malvales (Chios) (Chios),596
Coleoptera (Chios) (Chios),Saxifragales (Chios) (Chios),17
Coleoptera (Cikánka) (Cikánka),Saxifragales (Cikánka) (Cikánka),1
Coleoptera (Coimbra) (Coimbra),Cornales (Coimbra) (Coimbra),8
Coleoptera (Coimbra) (Coimbra),Dipsacales (Coimbra) (Coimbra),2
Coleoptera (Coimbra) (Coimbra),Ericales (Coimbra) (Coimbra),3
Coleoptera (Coimbra) (Coimbra),Fabales (Coimbra) (Coimbra),3
Coleoptera (Coimbra) (Coimbra),Myrtales (Coimbra) (Coimbra),3
Coleoptera (Coimbra) (Coimbra),Rosales (Coimbra) (Coimbra),48
Coleoptera (Convento_de_la_luz) (Convento_de_la_luz),Malvales (Convento_de_la_luz) (Convento_de_la_luz),9
Coleoptera (Côte d'or) (Côte d'or),Apiales (Côte d'or) (Côte d'or),1
Coleoptera (Côte d'or) (Côte d'or),Brassicales (Côte d'or) (Côte d'or),3
Coleoptera (Côte d'or) (Côte d'or),Dipsacales (Côte d'or) (Côte d'or),1
Coleoptera (Côte d'or) (Côte d'or),Fabales (Côte d'or) (Côte d'or),1
Coleoptera (Côte d'or) (Côte d'or),Ranunculales (Côte d'or) (Côte d'or),22
Coleoptera (Côte d'or) (Côte d'or),Rosales (Côte d'or) (Côte d'or),4
Coleoptera (El_pinar) (El_pinar),Malvales (El_pinar) (El_pinar),3
Coleoptera (El_pozo) (El_pozo),Malvales (El_pozo) (El_pozo),3
Coleoptera (Erlenbachova bouda) (Erlenbachova bouda),Asterales (Erlenbachova bouda) (Erlenbachova bouda),3
Coleoptera (Erlenbachova bouda) (Erlenbachova bouda),Caryophyllales (Erlenbachova bouda) (Erlenbachova bouda),1
Coleoptera (Erlenbachova bouda) (Erlenbachova bouda),Ranunculales (Erlenbachova bouda) (Erlenbachova bouda),2
Coleoptera (EsCabanells) (EsCabanells),Apiales (EsCabanells) (EsCabanells),1
Coleoptera (EsCabanells) (EsCabanells),Asparagales (EsCabanells) (EsCabanells),16
Coleoptera (EsCabanells) (EsCabanells),Asterales (EsCabanells) (EsCabanells),21
Coleoptera (EsCabanells) (EsCabanells),Gentianales (EsCabanells) (EsCabanells),3
Coleoptera (EsCabanells) (EsCabanells),Malvales (EsCabanells) (EsCabanells),377
Coleoptera (EsCapdella) (EsCapdella),Apiales (EsCapdella) (EsCapdella),31
Coleoptera (EsCapdella) (EsCapdella),Asparagales (EsCapdella) (EsCapdella),21
Coleoptera (EsCapdella) (EsCapdella),Asterales (EsCapdella) (EsCapdella),117
Coleoptera (EsCapdella) (EsCapdella),Brassicales (EsCapdella) (EsCapdella),6
Coleoptera (EsCapdella) (EsCapdella),Dipsacales (EsCapdella) (EsCapdella),4
Coleoptera (EsCapdella) (EsCapdella),Fabales (EsCapdella) (EsCapdella),12
Coleoptera (EsCapdella) (EsCapdella),Gentianales (EsCapdella) (EsCapdella),1
Coleoptera (EsCapdella) (EsCapdella),Malvales (EsCapdella) (EsCapdella),173
Coleoptera (EsCapdella) (EsCapdella),Oxalidales (EsCapdella) (EsCapdella),5
Coleoptera (EsCapdella) (EsCapdella),Solanales (EsCapdella) (EsCapdella),4
Coleoptera (Esparragal) (Esparragal),Malvales (Esparragal) (Esparragal),2
Coleoptera (Esporles) (Esporles),Asparagales (Esporles) (Esporles),101
Coleoptera (Esporles) (Esporles),Asterales (Esporles) (Esporles),7
Coleoptera (Esporles) (Esporles),Dipsacales (Esporles) (Esporles),4
Coleoptera (Esporles) (Esporles),Fabales (Esporles) (Esporles),2
Coleoptera (Esporles) (Esporles),Lamiales (Esporles) (Esporles),1
Coleoptera (Esporles) (Esporles),Malvales (Esporles) (Esporles),253
Coleoptera (Fajtův kopec) (Fajtův kopec),Apiales (Fajtův kopec) (Fajtův kopec),2
Coleoptera (Fajtův kopec) (Fajtův kopec),Asterales (Fajtův kopec) (Fajtův kopec),811
Coleoptera (Folegandros) (Folegandros),Asterales (Folegandros) (Folegandros),6
Coleoptera (Havranické vřesoviště) (Havranické vřesoviště),Asterales (Havranické vřesoviště) (Havranické vřesoviště),25
Coleoptera (Havranické vřesoviště) (Havranické vřesoviště),Malpighiales (Havranické vřesoviště) (Havranické vřesoviště),2
Coleoptera (Horbylunde_2005) (Horbylunde_2005),Asterales (Horbylunde_2005) (Horbylunde_2005),2
Coleoptera (Horbylunde_2005) (Horbylunde_2005),Ericales (Horbylunde_2005) (Horbylunde_2005),23
Coleoptera (Horbylunde_2005) (Horbylunde_2005),Gentianales (Horbylunde_2005) (Horbylunde_2005),24
Coleoptera (Horbylunde_2005) (Horbylunde_2005),Malpighiales (Horbylunde_2005) (Horbylunde_2005),1
Coleoptera (Horní Bečva) (Horní Bečva),Apiales (Horní Bečva) (Horní Bečva),3
Coleoptera (Horní Bečva) (Horní Bečva),Asterales (Horní Bečva) (Horní Bečva),10
Coleoptera (Isen_Bjerg_2004) (Isen_Bjerg_2004),Asterales (Isen_Bjerg_2004) (Isen_Bjerg_2004),5
Coleoptera (Isen_Bjerg_2004) (Isen_Bjerg_2004),Ericales (Isen_Bjerg_2004) (Isen_Bjerg_2004),7
Coleoptera (Isen_Bjerg_2004) (Isen_Bjerg_2004),Gentianales (Isen_Bjerg_2004) (Isen_Bjerg_2004),4
Coleoptera (Isen_Bjerg_2004) (Isen_Bjerg_2004),Malpighiales (Isen_Bjerg_2004) (Isen_Bjerg_2004),9
Coleoptera (Isen_Bjerg_2004) (Isen_Bjerg_2004),Rosales (Isen_Bjerg_2004) (Isen_Bjerg_2004),1
Coleoptera (Isen_Bjerg_2005) (Isen_Bjerg_2005),Asterales (Isen_Bjerg_2005) (Isen_Bjerg_2005),9
Coleoptera (Isen_Bjerg_2005) (Isen_Bjerg_2005),Ericales (Isen_Bjerg_2005) (Isen_Bjerg_2005),18
Coleoptera (Isen_Bjerg_2005) (Isen_Bjerg_2005),Gentianales (Isen_Bjerg_2005) (Isen_Bjerg_2005),5
