Id,Country,Locality,Bioregion,Type
Asteraceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Lamiaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Euphorbiaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Convolvulaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Brassicaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Fabaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Thymelaeaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Aizoaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Apiaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Boraginaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Crassulaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Cactaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Cistaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Caprifoliaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Rutaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Caryophyllaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Hypericaceae (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Cistaceae (Chios),Greece,Chios,Mediterranean,Plant
Asteraceae (Chios),Greece,Chios,Mediterranean,Plant
Lamiaceae (Chios),Greece,Chios,Mediterranean,Plant
Fabaceae (Chios),Greece,Chios,Mediterranean,Plant
Hypericaceae (Chios),Greece,Chios,Mediterranean,Plant
Convolvulaceae (Chios),Greece,Chios,Mediterranean,Plant
Apiaceae (Chios),Greece,Chios,Mediterranean,Plant
Scrophulariaceae (Chios),Greece,Chios,Mediterranean,Plant
Campanulaceae (Chios),Greece,Chios,Mediterranean,Plant
Papaveraceae (Chios),Greece,Chios,Mediterranean,Plant
Amaryllidaceae (Chios),Greece,Chios,Mediterranean,Plant
Brassicaceae (Chios),Greece,Chios,Mediterranean,Plant
Crassulaceae (Chios),Greece,Chios,Mediterranean,Plant
Gentianaceae (Chios),Greece,Chios,Mediterranean,Plant
Asparagaceae (Chios),Greece,Chios,Mediterranean,Plant
Iridaceae (Chios),Greece,Chios,Mediterranean,Plant
Boraginaceae (Chios),Greece,Chios,Mediterranean,Plant
Orchidaceae (Chios),Greece,Chios,Mediterranean,Plant
Malvaceae (Chios),Greece,Chios,Mediterranean,Plant
Caprifoliaceae (Chios),Greece,Chios,Mediterranean,Plant
Geraniaceae (Spiennes),Belgium,Spiennes,Atlantic,Plant
Rosaceae (Spiennes),Belgium,Spiennes,Atlantic,Plant
Verbenaceae (Spiennes),Belgium,Spiennes,Atlantic,Plant
