edges_removed,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length,average_degree,average_weighted_degree,degree_distribution,weighted_degree_distribution
0,1,80,0.5534929968419784,8.1,3037.875,"{15: 4, 3: 7, 17: 1, 14: 6, 10: 3, 6: 4, 9: 2, 4: 11, 19: 2, 21: 1, 1: 10, 5: 3, 18: 1, 8: 3, 7: 4, 2: 9, 11: 3, 23: 1, 26: 1, 33: 1, 35: 1, 16: 1, 12: 1}","{322: 1, 116830: 1, 224: 1, 1287: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 427: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 405: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 117138: 1, 1812: 1, 27: 2, 572: 1, 347: 1, 154: 1, 83: 1, 694: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
1,1,80,0.5552934480318392,8.075,3007.75,"{15: 4, 2: 10, 17: 1, 14: 6, 10: 3, 6: 4, 9: 2, 4: 11, 19: 2, 21: 1, 1: 10, 5: 3, 18: 1, 8: 3, 7: 4, 11: 3, 3: 6, 23: 1, 25: 1, 33: 1, 35: 1, 16: 1, 12: 1}","{322: 1, 115625: 1, 224: 1, 1287: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 427: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 405: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 117138: 1, 607: 1, 27: 2, 572: 1, 347: 1, 154: 1, 83: 1, 694: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
2,1,80,0.557477013188806,8.05,3005.225,"{15: 4, 2: 10, 17: 1, 14: 6, 10: 3, 6: 4, 9: 2, 4: 11, 18: 2, 21: 1, 1: 10, 5: 3, 8: 3, 7: 4, 11: 3, 3: 6, 23: 1, 24: 1, 33: 1, 35: 1, 16: 1, 19: 1, 12: 1}","{322: 1, 115625: 1, 224: 1, 1287: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 326: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 405: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 117138: 1, 506: 1, 27: 2, 572: 1, 347: 1, 154: 1, 83: 1, 694: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
3,1,80,0.558180853650874,8.025,119.1,"{15: 4, 1: 11, 17: 1, 14: 6, 10: 3, 6: 4, 9: 2, 4: 11, 18: 2, 21: 1, 5: 3, 8: 3, 7: 4, 2: 9, 11: 3, 3: 6, 22: 1, 24: 1, 33: 1, 35: 1, 16: 1, 19: 1, 12: 1}","{322: 1, 180: 1, 224: 1, 1287: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 326: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 405: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 1693: 1, 506: 1, 27: 2, 572: 1, 347: 1, 154: 1, 83: 1, 694: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
4,1,80,0.5589616038410945,8.0,116.975,"{15: 4, 1: 11, 17: 2, 14: 6, 10: 3, 6: 4, 9: 2, 4: 11, 21: 1, 5: 3, 18: 1, 8: 3, 7: 4, 2: 9, 11: 3, 3: 6, 22: 1, 24: 1, 32: 1, 35: 1, 16: 1, 19: 1, 12: 1}","{322: 1, 180: 1, 224: 1, 1287: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 241: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 405: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 1693: 1, 506: 1, 27: 2, 487: 1, 347: 1, 154: 1, 83: 1, 694: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
5,1,80,0.5647006427995895,7.975,112.675,"{15: 4, 1: 11, 17: 1, 14: 6, 10: 3, 6: 4, 9: 2, 4: 11, 16: 2, 21: 1, 5: 3, 18: 1, 8: 3, 7: 4, 2: 9, 11: 3, 3: 6, 22: 1, 24: 1, 32: 1, 34: 1, 19: 1, 12: 1}","{322: 1, 180: 1, 224: 1, 1287: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 69: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 405: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 1693: 1, 506: 1, 27: 2, 487: 1, 347: 1, 154: 1, 83: 1, 522: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
6,1,80,0.5676821709417301,7.95,111.675,"{15: 4, 1: 11, 17: 1, 14: 6, 10: 3, 6: 4, 9: 2, 4: 11, 16: 2, 20: 1, 5: 3, 18: 1, 8: 3, 7: 4, 2: 9, 11: 3, 3: 6, 22: 1, 24: 1, 31: 1, 34: 1, 19: 1, 12: 1}","{322: 1, 180: 1, 224: 1, 1287: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 69: 1, 151: 2, 135: 1, 15: 2, 5: 1, 145: 1, 405: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 1693: 1, 506: 1, 27: 2, 447: 1, 347: 1, 154: 1, 83: 1, 522: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
7,1,80,0.5713104764817308,7.925,90.6,"{15: 4, 1: 11, 16: 3, 14: 6, 10: 3, 6: 4, 9: 2, 4: 11, 20: 1, 5: 3, 18: 1, 8: 3, 7: 4, 2: 9, 11: 3, 3: 6, 21: 1, 24: 1, 31: 1, 34: 1, 19: 1, 12: 1}","{322: 1, 180: 1, 224: 1, 444: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 69: 1, 151: 2, 135: 1, 15: 2, 5: 1, 145: 1, 405: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 850: 1, 506: 1, 27: 2, 447: 1, 347: 1, 154: 1, 83: 1, 522: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
8,1,80,0.5738701826904767,7.9,88.6,"{15: 3, 1: 11, 14: 7, 16: 3, 10: 3, 6: 4, 9: 2, 4: 11, 20: 1, 5: 3, 18: 1, 8: 3, 7: 4, 2: 9, 11: 3, 3: 6, 21: 1, 24: 1, 30: 1, 34: 1, 19: 1, 12: 1}","{322: 1, 180: 1, 144: 1, 444: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 69: 1, 151: 2, 135: 1, 15: 2, 5: 1, 145: 1, 405: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 850: 1, 506: 1, 27: 2, 367: 1, 347: 1, 154: 1, 83: 1, 522: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
9,1,80,0.5760124681736987,7.875,86.275,"{15: 3, 1: 11, 14: 7, 16: 3, 10: 3, 6: 4, 9: 2, 4: 11, 20: 2, 5: 3, 18: 1, 8: 2, 7: 5, 2: 9, 11: 3, 3: 6, 24: 1, 30: 1, 34: 1, 19: 1, 12: 1}","{322: 1, 180: 1, 144: 1, 444: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 69: 2, 151: 2, 135: 1, 15: 2, 5: 1, 145: 1, 405: 1, 59: 1, 25: 2, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 757: 1, 506: 1, 27: 2, 367: 1, 347: 1, 154: 1, 83: 1, 522: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
