edges_removed,size_of_largest_component,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length
0,83.0,1.0,83,287292.28739347635
1,83.0,1.0,0,0.0
2,83.0,1.0,0,0.0
3,82.95,1.05,0,0.0
4,82.95,1.05,0,0.0
5,82.95,1.05,0,0.0
6,82.75,1.25,0,0.0
7,82.7,1.3,0,0.0
8,82.65,1.35,0,0.0
9,82.65,1.35,0,0.0
10,82.65,1.35,0,0.0
11,82.65,1.35,0,0.0
12,82.6,1.4,0,0.0
13,82.5,1.5,0,0.0
14,82.45,1.55,0,0.0
15,82.4,1.6,0,0.0
16,82.4,1.6,0,0.0
17,82.35,1.65,0,0.0
18,82.3,1.7,0,0.0
19,82.25,1.75,0,0.0
20,82.15,1.85,0,0.0
21,82.05,1.95,0,0.0
22,81.95,2.05,0,0.0
23,81.95,2.05,0,0.0
24,81.95,2.05,0,0.0
25,81.95,2.05,0,0.0
26,81.9,2.1,0,0.0
27,81.8,2.2,0,0.0
28,81.75,2.25,0,0.0
29,81.7,2.3,0,0.0
30,81.7,2.3,0,0.0
31,81.6,2.4,0,0.0
32,81.45,2.55,0,0.0
33,81.4,2.6,0,0.0
34,81.4,2.6,0,0.0
35,81.4,2.6,0,0.0
36,81.35,2.65,0,0.0
37,81.15,2.85,0,0.0
38,81.05,2.95,0,0.0
39,81.0,3.0,0,0.0
40,80.95,3.05,0,0.0
41,80.9,3.1,0,0.0
42,80.85,3.15,0,0.0
43,80.85,3.15,0,0.0
44,80.8,3.2,0,0.0
45,80.8,3.2,0,0.0
46,80.65,3.35,0,0.0
47,80.65,3.35,0,0.0
48,80.6,3.4,0,0.0
49,80.55,3.45,0,0.0
50,80.4,3.6,0,0.0
51,80.35,3.65,0,0.0
52,80.25,3.75,0,0.0
53,80.2,3.8,0,0.0
54,80.05,3.95,0,0.0
55,79.9,4.1,0,0.0
56,79.8,4.2,0,0.0
57,79.75,4.25,0,0.0
58,79.65,4.35,0,0.0
59,79.5,4.5,0,0.0
60,79.4,4.6,0,0.0
61,79.4,4.6,0,0.0
62,79.25,4.75,0,0.0
63,79.2,4.8,0,0.0
64,79.1,4.9,0,0.0
65,79.05,4.95,0,0.0
66,78.95,5.05,0,0.0
67,78.9,5.1,0,0.0
68,78.85,5.15,0,0.0
69,78.75,5.25,0,0.0
70,78.65,5.35,0,0.0
71,78.65,5.35,0,0.0
72,78.65,5.35,0,0.0
73,78.5,5.5,0,0.0
74,78.35,5.65,0,0.0
