edges_removed,Camisano Vicentino_size_of_largest_component,Camisano Vicentino_number_of_strongly_connected_components
0,90.0,2.0
1,90.0,2.0
2,89.95,2.05
3,89.9,2.15
4,89.85,2.2
5,89.75,2.3
6,89.75,2.3
7,89.75,2.35
8,89.7,2.4
9,89.65,2.45
10,89.55,2.55
11,89.5,2.6
12,89.35,2.75
13,89.25,2.85
14,89.1,3.0
15,89.0,3.1
16,89.0,3.15
17,89.0,3.15
18,88.9,3.25
19,88.85,3.3
20,88.85,3.3
21,88.85,3.3
22,88.75,3.4
23,88.65,3.5
24,88.65,3.5
25,88.65,3.5
26,88.6,3.55
27,88.5,3.65
28,88.35,3.8
29,88.3,3.85
30,88.1,4.05
31,87.9,4.25
32,87.8,4.35
33,87.75,4.4
34,87.5,4.65
35,87.4,4.75
36,87.4,4.75
37,87.2,4.95
38,87.0,5.15
39,86.9,5.25
40,86.85,5.3
41,86.7,5.45
42,86.5,5.65
43,86.35,5.85
44,86.3,5.9
45,86.1,6.1
46,85.95,6.25
47,85.9,6.3
48,85.85,6.35
49,85.7,6.55
50,85.6,6.65
51,85.55,6.7
52,85.4,6.9
53,85.25,7.05
54,85.1,7.2
55,85.05,7.25
56,84.9,7.4
57,84.8,7.5
58,84.75,7.6
59,84.75,7.6
60,84.6,7.8
61,84.55,7.85
62,84.5,7.9
63,84.45,7.95
64,84.3,8.1
65,84.15,8.25
66,84.1,8.3
67,84.1,8.3
68,84.0,8.4
69,83.75,8.65
70,83.65,8.75
71,83.5,8.9
72,83.25,9.15
73,83.15,9.25
74,83.0,9.4
75,83.0,9.5
76,82.8,9.7
77,82.6,9.9
78,82.6,9.9
79,82.4,10.1
80,82.35,10.15
81,82.25,10.25
82,82.1,10.4
83,81.95,10.55
84,81.8,10.7
85,81.7,10.8
86,81.55,10.95
87,81.4,11.1
88,81.3,11.2
89,81.25,11.25
90,81.15,11.35
91,81.1,11.45
92,81.05,11.5
93,80.85,11.7
94,80.8,11.75
95,80.65,11.9
96,80.6,11.95
97,80.35,12.2
98,80.2,12.4
99,80.05,12.55
100,79.85,12.75
101,79.8,12.8
102,79.6,13.0
103,79.5,13.1
104,79.4,13.2
105,79.15,13.45
106,79.0,13.6
107,78.95,13.65
108,78.8,13.8
109,78.65,13.95
110,78.6,14.0
111,78.6,14.0
112,78.55,14.05
113,78.45,14.15
114,78.05,14.55
115,78.05,14.6
116,77.95,14.7
117,77.9,14.85
118,77.8,15.0
119,77.65,15.15
120,77.4,15.45
121,77.2,15.65
122,76.9,15.95
123,76.75,16.1
124,76.75,16.1
125,76.7,16.15
126,76.6,16.25
127,76.4,16.45
128,76.25,16.6
129,75.95,16.9
130,75.8,17.05
131,75.6,17.25
132,75.4,17.45
133,75.2,17.65
134,75.0,17.85
135,74.9,17.95
136,74.7,18.15
137,74.55,18.3
138,74.4,18.45
139,74.25,18.6
140,74.1,18.8
141,74.0,18.9
142,73.85,19.05
143,73.8,19.1
144,73.7,19.2
145,73.6,19.3
146,73.55,19.35
147,73.3,19.6
148,73.2,19.75
149,73.1,19.85
150,73.1,19.85
151,72.95,20.0
152,72.75,20.2
153,72.65,20.3
154,72.4,20.55
155,72.2,20.75
156,72.05,20.9
157,71.9,21.05
158,71.55,21.4
159,71.35,21.6
160,71.2,21.75
161,71.15,21.8
162,71.0,21.95
163,70.85,22.1
164,70.8,22.15
165,70.7,22.25
166,70.5,22.45
167,70.25,22.7
168,70.15,22.8
169,69.95,23.0
170,69.8,23.15
171,69.5,23.45
172,69.2,23.75
173,69.15,23.8
174,69.05,23.9
175,69.0,23.95
176,68.95,24.0
177,68.8,24.15
178,68.45,24.5
179,68.4,24.55
180,68.25,24.7
181,68.15,24.8
182,68.05,24.9
183,67.9,25.05
184,67.8,25.15
185,67.7,25.25
186,67.6,25.35
187,67.45,25.5
188,67.25,25.7
189,66.95,25.95
190,66.9,26.0
191,66.7,26.2
192,66.5,26.4
193,66.35,26.55
194,66.15,26.8
195,66.0,26.95
196,65.85,27.1
197,65.65,27.3
198,65.5,27.45
199,65.25,27.7
200,65.1,27.85
201,64.95,28.0
202,64.9,28.05
203,64.75,28.2
204,64.55,28.4
205,64.5,28.45
206,64.4,28.55
207,64.25,28.7
208,63.95,29.0
209,63.7,29.25
210,63.5,29.45
211,63.45,29.5
212,63.2,29.75
213,63.0,29.95
214,62.85,30.1
215,62.65,30.3
216,62.45,30.5
217,62.25,30.7
218,61.85,31.1
219,61.6,31.35
220,61.45,31.5
221,61.2,31.75
222,61.05,31.9
223,60.8,32.15
224,60.55,32.4
225,60.25,32.7
226,60.05,32.9
227,59.85,33.1
228,59.7,33.25
229,59.4,33.6
230,59.3,33.7
231,59.2,33.8
232,59.0,34.0
233,58.7,34.3
234,58.55,34.45
235,58.35,34.65
236,58.1,34.9
237,57.95,35.05
238,57.8,35.2
239,57.6,35.4
240,57.4,35.6
241,57.2,35.8
242,57.05,35.95
243,56.95,36.05
244,56.8,36.2
245,56.6,36.4
246,56.45,36.55
247,56.15,36.85
248,55.95,37.05
249,55.85,37.15
250,55.7,37.3
251,55.6,37.4
252,55.55,37.45
253,55.3,37.7
254,55.1,37.9
255,55.05,37.95
256,54.95,38.05
257,54.8,38.2
258,54.55,38.45
259,54.25,38.75
260,53.95,39.05
261,53.75,39.25
262,53.7,39.3
263,53.55,39.45
264,53.45,39.55
265,53.25,39.75
266,53.2,39.8
267,53.1,39.9
268,52.95,40.05
269,52.9,40.1
270,52.75,40.25
271,52.55,40.45
272,52.4,40.6
273,52.3,40.7
274,52.25,40.75
275,52.15,40.85
276,52.15,40.85
277,52.0,41.0
278,51.95,41.05
279,51.9,41.1
280,51.75,41.25
281,51.65,41.35
282,51.5,41.5
283,51.45,41.55
284,51.25,41.75
285,51.15,41.85
286,51.05,41.95
287,50.95,42.05
288,50.85,42.15
289,50.85,42.15
290,50.75,42.25
291,50.45,42.55
292,50.3,42.7
293,50.25,42.75
294,50.1,42.9
295,50.0,43.0
296,49.85,43.15
297,49.7,43.3
298,49.4,43.6
299,49.3,43.7
300,49.15,43.85
301,49.05,43.95
302,48.9,44.1
303,48.6,44.4
304,48.45,44.55
305,48.3,44.7
306,47.65,45.35
307,47.3,45.7
308,46.85,46.15
309,46.5,46.5
310,46.15,46.85
311,45.65,47.35
312,45.15,47.85
313,44.7,48.3
314,44.3,48.7
315,43.85,49.15
316,43.4,49.6
317,43.0,50.0
318,42.55,50.45
319,42.35,50.65
320,42.0,51.0
321,41.45,51.55
322,41.05,51.95
323,40.5,52.5
324,40.0,53.0
325,39.7,53.3
326,39.05,53.95
327,38.35,54.65
328,38.05,54.95
329,37.8,55.2
330,37.25,55.7
331,36.95,56.0
332,36.45,56.4
333,35.8,56.95
334,35.5,57.2
335,34.65,57.85
336,33.95,58.5
337,33.1,59.2
338,32.4,59.8
339,31.6,60.5
340,30.8,61.2
341,30.1,61.85
342,29.6,62.35
343,29.05,62.9
344,28.45,63.45
345,28.05,64.0
346,27.3,64.75
347,27.0,65.2
348,26.75,65.55
349,26.45,65.95
350,26.0,66.55
351,25.55,67.05
352,25.25,67.55
353,24.9,67.9
354,24.5,68.3
355,24.2,68.7
356,23.75,69.2
357,23.2,69.8
358,23.0,70.0
359,22.0,71.0
360,21.05,71.95
361,20.0,72.85
362,19.5,73.3
363,18.55,74.1
364,17.65,74.9
365,16.75,75.65
366,15.8,76.5
367,14.95,77.25
368,14.1,78.15
369,13.6,79.05
370,12.9,80.0
371,11.9,81.0
372,10.85,82.0
373,10.25,82.75
374,9.95,83.05
375,9.0,84.0
376,8.0,85.0
377,7.0,86.0
378,6.0,87.0
379,5.0,88.0
380,4.0,89.0
381,3.0,90.0
382,2.0,91.0
383,1.0,92.0
