edges_removed,Piazzola sul Brenta_size_of_largest_component,Piazzola sul Brenta_number_of_strongly_connected_components
0,80.0,1.0
1,79.85,1.15
2,79.8,1.2
3,79.8,1.2
4,79.7,1.3
5,79.6,1.4
6,79.55,1.45
7,79.5,1.5
8,79.45,1.55
9,79.45,1.55
10,79.4,1.6
11,79.3,1.7
12,79.2,1.8
13,79.2,1.8
14,79.2,1.8
15,79.1,1.9
16,79.05,1.95
17,78.95,2.05
18,78.85,2.15
19,78.75,2.25
20,78.65,2.35
21,78.65,2.35
22,78.45,2.55
23,78.35,2.65
24,78.3,2.7
25,78.25,2.75
26,78.2,2.8
27,78.1,2.9
28,77.95,3.05
29,77.85,3.15
30,77.75,3.25
31,77.65,3.35
32,77.6,3.4
33,77.55,3.45
34,77.4,3.6
35,77.3,3.7
36,77.25,3.75
37,77.15,3.85
38,77.05,3.95
39,77.0,4.0
40,76.95,4.05
41,76.9,4.1
42,76.8,4.2
43,76.7,4.3
44,76.55,4.45
45,76.45,4.55
46,76.3,4.7
47,76.15,4.85
48,76.05,4.95
49,75.95,5.05
50,75.85,5.15
51,75.75,5.25
52,75.7,5.3
53,75.55,5.45
54,75.3,5.7
55,75.2,5.8
56,75.15,5.85
57,74.95,6.05
58,74.85,6.15
59,74.85,6.15
60,74.75,6.25
61,74.6,6.4
62,74.5,6.5
63,74.3,6.65
64,74.25,6.7
65,74.25,6.7
66,74.05,6.9
67,73.9,7.05
68,73.8,7.15
69,73.65,7.3
70,73.55,7.4
71,73.5,7.45
72,73.35,7.6
73,73.2,7.75
74,73.1,7.85
75,72.95,8.0
76,72.85,8.1
77,72.8,8.15
78,72.7,8.25
79,72.65,8.3
80,72.45,8.5
81,72.35,8.6
82,72.2,8.75
83,72.15,8.8
84,72.1,8.85
85,72.05,8.9
86,71.85,9.1
87,71.65,9.3
88,71.6,9.35
89,71.5,9.45
90,71.3,9.65
91,71.15,9.8
92,71.05,9.9
93,70.9,10.05
94,70.65,10.25
95,70.45,10.4
96,70.3,10.55
97,70.25,10.6
98,70.15,10.7
99,69.65,11.15
100,69.6,11.2
101,69.55,11.25
102,69.3,11.5
103,69.15,11.65
104,69.05,11.8
105,68.95,11.9
106,68.65,12.2
107,68.5,12.3
108,68.3,12.45
109,68.25,12.5
110,68.15,12.6
111,68.1,12.65
112,67.9,12.85
113,67.8,12.95
114,67.75,13.0
115,67.7,13.1
116,67.65,13.15
117,67.55,13.25
118,67.5,13.3
119,67.4,13.4
120,67.3,13.5
121,67.2,13.6
122,67.15,13.65
123,66.9,13.9
124,66.85,13.95
125,66.7,14.1
126,66.45,14.35
127,66.4,14.4
128,66.15,14.6
129,66.0,14.75
130,65.9,14.85
131,65.8,15.0
132,65.65,15.2
133,65.55,15.3
134,65.3,15.55
135,65.25,15.6
136,65.05,15.8
137,64.85,16.0
138,64.85,16.0
139,64.6,16.25
140,64.5,16.35
141,64.35,16.55
142,64.2,16.7
143,64.05,16.85
144,63.85,17.05
145,63.8,17.1
146,63.75,17.15
147,63.55,17.35
148,63.4,17.5
149,63.4,17.5
150,63.3,17.6
151,63.2,17.7
152,63.1,17.8
153,62.8,18.1
154,62.5,18.4
155,62.45,18.45
156,62.3,18.6
157,62.2,18.75
158,61.95,19.0
159,61.85,19.1
160,61.7,19.25
161,61.5,19.45
162,61.3,19.65
163,61.3,19.65
164,61.25,19.75
165,61.05,19.95
166,60.9,20.1
167,60.65,20.35
168,60.5,20.5
169,60.35,20.65
170,60.3,20.7
171,60.15,20.85
172,60.05,20.95
173,59.9,21.1
174,59.7,21.3
175,59.6,21.4
176,59.5,21.5
177,59.2,21.8
178,59.0,22.0
179,58.8,22.2
180,58.5,22.5
181,58.35,22.65
182,58.2,22.8
183,57.9,23.1
184,57.7,23.3
185,57.4,23.6
186,57.2,23.8
187,57.05,23.95
188,56.8,24.2
189,56.75,24.25
190,56.55,24.45
191,56.35,24.65
192,56.25,24.75
193,56.2,24.8
194,56.1,24.9
195,55.85,25.15
196,55.65,25.35
197,55.25,25.75
198,54.95,26.05
199,54.8,26.2
200,54.75,26.25
201,54.55,26.45
202,54.45,26.55
203,54.0,27.0
204,53.75,27.25
205,53.2,27.8
206,52.9,28.1
207,52.45,28.5
208,52.2,28.65
209,52.0,28.85
210,51.75,29.1
211,51.6,29.25
212,51.5,29.35
213,51.25,29.6
214,50.8,30.05
215,50.4,30.45
216,50.1,30.75
217,49.65,31.15
218,49.35,31.45
219,49.15,31.65
220,48.65,32.15
221,48.25,32.55
222,47.95,32.8
223,47.3,33.4
224,46.9,33.8
225,46.5,34.2
226,46.1,34.5
227,45.8,34.8
228,45.5,35.05
229,45.1,35.4
230,44.7,35.8
231,44.25,36.25
232,44.0,36.45
233,43.5,36.9
234,43.0,37.45
235,42.7,37.8
236,42.5,38.05
237,42.15,38.45
238,41.6,38.95
239,41.2,39.35
240,41.0,39.6
241,40.75,39.95
242,40.45,40.35
243,40.2,40.6
244,39.9,40.9
245,39.6,41.25
246,39.4,41.45
247,39.0,41.85
248,38.65,42.25
249,38.3,42.6
250,38.0,42.9
251,37.6,43.3
252,37.4,43.5
253,37.15,43.75
254,37.0,43.9
255,36.7,44.2
256,36.25,44.6
257,35.85,44.95
258,35.6,45.25
259,35.3,45.55
260,35.2,45.7
261,34.65,46.2
262,34.35,46.5
263,34.0,46.85
264,33.55,47.25
265,33.2,47.6
266,32.95,47.9
267,32.65,48.2
268,32.2,48.65
269,31.7,49.15
270,31.05,49.7
271,30.7,50.1
272,30.55,50.25
273,30.0,50.8
274,29.75,51.05
275,29.45,51.35
276,28.85,51.95
277,28.45,52.4
278,28.15,52.65
279,27.8,53.05
280,27.55,53.35
281,27.2,53.75
282,26.75,54.2
283,26.55,54.4
284,26.2,54.75
285,25.85,55.1
286,25.55,55.4
287,25.3,55.65
288,24.9,56.1
289,24.55,56.45
290,24.3,56.65
291,23.75,57.2
292,23.35,57.65
293,23.05,57.95
294,22.55,58.4
295,22.3,58.65
296,21.7,59.2
297,21.2,59.75
298,20.55,60.4
299,19.95,61.05
300,19.45,61.55
301,18.85,62.15
302,18.4,62.6
303,17.85,63.15
304,17.3,63.7
305,16.8,64.2
306,16.1,64.9
307,15.35,65.65
308,15.0,65.95
309,13.95,66.65
310,13.05,67.3
311,12.25,68.15
312,10.75,69.15
313,9.75,70.1
314,9.0,71.0
315,8.0,72.0
316,7.0,73.0
317,6.05,74.0
318,5.9,74.85
319,5.35,75.55
320,5.0,76.0
321,4.0,77.0
322,3.0,78.0
323,2.0,79.0
324,1.0,80.0
