edges_removed,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length,average_degree,average_weighted_degree,degree_distribution,weighted_degree_distribution
0,1,83,2.5506905671466353,7.0602409638554215,2922.9638554216867,"{14: 3, 4: 7, 23: 1, 16: 2, 17: 1, 11: 3, 8: 2, 9: 2, 20: 1, 2: 9, 3: 8, 7: 5, 6: 10, 15: 2, 5: 3, 1: 16, 24: 1, 37: 1, 13: 3, 19: 1, 28: 1, 12: 1}","{394: 1, 7: 3, 2084: 1, 110: 1, 241: 1, 257: 1, 154: 1, 85: 1, 95: 1, 553: 1, 111: 1, 4: 5, 5: 4, 29: 1, 14: 2, 52: 2, 725: 1, 18: 1, 125: 1, 10: 1, 115685: 1, 3: 4, 19: 2, 15: 3, 26: 2, 1: 10, 11: 2, 35: 1, 270: 1, 6: 2, 2: 3, 23: 1, 739: 1, 876: 1, 116686: 1, 1628: 1, 143: 1, 473: 1, 37: 2, 192: 1, 27: 1, 8: 1, 68: 1, 20: 1, 73: 1, 82: 1, 12: 2, 33: 1, 44: 1, 22: 1}"
1,1,83,0.6669581125592614,7.036144578313253,2919.4939759036147,"{14: 3, 4: 7, 23: 1, 16: 1, 17: 1, 11: 3, 8: 2, 9: 2, 19: 2, 2: 9, 3: 8, 7: 5, 6: 10, 15: 3, 5: 3, 1: 16, 24: 1, 37: 1, 13: 3, 28: 1, 12: 1}","{394: 1, 7: 3, 2084: 1, 110: 1, 241: 1, 257: 1, 154: 1, 85: 1, 95: 1, 409: 1, 111: 1, 4: 5, 5: 4, 29: 1, 14: 2, 52: 2, 725: 1, 18: 1, 125: 1, 10: 1, 115685: 1, 3: 4, 19: 2, 15: 3, 26: 2, 1: 10, 11: 2, 35: 1, 270: 1, 6: 2, 2: 3, 23: 1, 739: 1, 876: 1, 116542: 1, 1628: 1, 143: 1, 473: 1, 37: 2, 192: 1, 27: 1, 8: 1, 68: 1, 20: 1, 73: 1, 82: 1, 12: 2, 33: 1, 44: 1, 22: 1}"
2,1,83,0.6682598437738628,7.0120481927710845,2918.0963855421687,"{14: 3, 4: 7, 22: 1, 16: 1, 17: 1, 11: 3, 8: 2, 9: 2, 19: 2, 2: 9, 3: 8, 7: 5, 6: 10, 15: 3, 5: 3, 1: 16, 24: 1, 36: 1, 13: 3, 28: 1, 12: 1}","{394: 1, 7: 3, 2026: 1, 110: 1, 241: 1, 257: 1, 154: 1, 85: 1, 95: 1, 409: 1, 111: 1, 4: 5, 5: 4, 29: 1, 14: 2, 52: 2, 725: 1, 18: 1, 125: 1, 10: 1, 115685: 1, 3: 4, 19: 2, 15: 3, 26: 2, 1: 10, 11: 2, 35: 1, 270: 1, 6: 2, 2: 3, 23: 1, 739: 1, 818: 1, 116542: 1, 1628: 1, 143: 1, 473: 1, 37: 2, 192: 1, 27: 1, 8: 1, 68: 1, 20: 1, 73: 1, 82: 1, 12: 2, 33: 1, 44: 1, 22: 1}"
3,1,83,0.6702208690147653,6.9879518072289155,2915.4939759036147,"{13: 4, 4: 7, 22: 1, 14: 3, 16: 1, 17: 1, 11: 3, 8: 2, 9: 2, 19: 2, 2: 9, 3: 8, 7: 5, 6: 10, 15: 2, 5: 3, 1: 16, 24: 1, 36: 1, 28: 1, 12: 1}","{286: 1, 7: 3, 2026: 1, 110: 1, 241: 1, 257: 1, 154: 1, 85: 1, 95: 1, 409: 1, 111: 1, 4: 5, 5: 4, 29: 1, 14: 2, 52: 2, 725: 1, 18: 1, 125: 1, 10: 1, 115685: 1, 3: 4, 19: 2, 15: 3, 26: 2, 1: 10, 11: 2, 35: 1, 270: 1, 6: 2, 2: 3, 23: 1, 739: 1, 818: 1, 116434: 1, 1628: 1, 143: 1, 473: 1, 37: 2, 192: 1, 27: 1, 8: 1, 68: 1, 20: 1, 73: 1, 82: 1, 12: 2, 33: 1, 44: 1, 22: 1}"
4,1,83,0.6729338561799711,6.963855421686747,2913.7831325301204,"{12: 3, 4: 7, 22: 1, 14: 3, 16: 1, 17: 1, 11: 3, 8: 2, 9: 2, 19: 2, 2: 9, 3: 8, 7: 5, 6: 10, 15: 2, 5: 3, 1: 16, 24: 1, 36: 1, 28: 1, 13: 2}","{215: 1, 7: 3, 2026: 1, 110: 1, 241: 1, 257: 1, 154: 1, 85: 1, 95: 1, 409: 1, 111: 1, 4: 5, 5: 4, 29: 1, 14: 2, 52: 2, 725: 1, 18: 1, 125: 1, 10: 1, 115685: 1, 3: 4, 19: 2, 15: 3, 26: 2, 1: 10, 11: 2, 35: 1, 270: 1, 6: 2, 2: 3, 23: 1, 739: 1, 818: 1, 116434: 1, 1557: 1, 143: 1, 473: 1, 37: 2, 192: 1, 27: 1, 8: 1, 68: 1, 20: 1, 73: 1, 82: 1, 12: 2, 33: 1, 44: 1, 22: 1}"
5,1,83,0.6739384257746935,6.9397590361445785,2905.132530120482,"{12: 3, 4: 6, 22: 1, 14: 3, 16: 1, 17: 1, 11: 3, 8: 2, 9: 2, 19: 2, 2: 9, 3: 9, 7: 5, 6: 10, 15: 2, 5: 3, 1: 16, 23: 1, 36: 1, 28: 1, 13: 2}","{215: 1, 7: 3, 2026: 1, 110: 1, 241: 1, 257: 1, 154: 1, 85: 1, 95: 1, 409: 1, 111: 1, 4: 5, 5: 4, 29: 1, 14: 2, 52: 2, 725: 1, 18: 1, 125: 1, 10: 1, 115326: 1, 3: 4, 19: 2, 15: 3, 26: 2, 1: 10, 11: 2, 35: 1, 270: 1, 6: 2, 2: 3, 23: 1, 380: 1, 818: 1, 116434: 1, 1557: 1, 143: 1, 473: 1, 37: 2, 192: 1, 27: 1, 8: 1, 68: 1, 20: 1, 73: 1, 82: 1, 12: 2, 33: 1, 44: 1, 22: 1}"
6,1,83,0.6755478288131892,6.9156626506024095,2866.722891566265,"{12: 3, 4: 6, 21: 1, 14: 2, 16: 1, 17: 1, 11: 3, 8: 2, 9: 2, 19: 2, 2: 9, 3: 9, 7: 5, 6: 10, 15: 2, 5: 3, 1: 16, 23: 1, 36: 1, 13: 3, 28: 1}","{215: 1, 7: 3, 432: 1, 110: 1, 241: 1, 257: 1, 154: 1, 85: 1, 95: 1, 409: 1, 111: 1, 4: 5, 5: 4, 29: 1, 14: 2, 52: 2, 725: 1, 18: 1, 125: 1, 10: 1, 115326: 1, 3: 4, 19: 2, 15: 3, 26: 2, 1: 10, 11: 2, 35: 1, 270: 1, 6: 2, 2: 3, 23: 1, 380: 1, 818: 1, 114840: 1, 1557: 1, 143: 1, 473: 1, 37: 2, 192: 1, 27: 1, 8: 1, 68: 1, 20: 1, 73: 1, 82: 1, 12: 2, 33: 1, 44: 1, 22: 1}"
7,1,83,0.6799604566415653,6.891566265060241,2863.4698795180725,"{12: 2, 4: 6, 20: 1, 14: 2, 16: 1, 17: 1, 11: 4, 8: 2, 9: 2, 19: 2, 2: 9, 3: 9, 7: 5, 6: 10, 15: 2, 5: 3, 1: 16, 23: 1, 36: 1, 13: 3, 28: 1}","{215: 1, 7: 3, 297: 1, 110: 1, 241: 1, 257: 1, 154: 1, 85: 1, 95: 1, 409: 1, 111: 1, 4: 5, 5: 4, 29: 1, 14: 2, 52: 2, 725: 1, 18: 1, 125: 1, 10: 1, 115326: 1, 3: 4, 19: 2, 15: 3, 26: 2, 1: 10, 11: 2, 35: 1, 270: 1, 6: 2, 2: 3, 23: 1, 380: 1, 818: 1, 114840: 1, 1422: 1, 143: 1, 473: 1, 37: 2, 192: 1, 27: 1, 8: 1, 68: 1, 20: 1, 73: 1, 82: 1, 12: 2, 33: 1, 44: 1, 22: 1}"
8,1,83,0.6925919076618489,6.867469879518072,2849.2048192771085,"{12: 3, 4: 6, 20: 1, 14: 3, 16: 1, 17: 1, 11: 4, 8: 2, 9: 2, 19: 2, 2: 9, 3: 9, 7: 5, 6: 10, 5: 3, 1: 16, 15: 1, 23: 1, 36: 1, 28: 1, 13: 2}","{215: 1, 7: 3, 297: 1, 110: 1, 241: 1, 257: 1, 154: 1, 85: 1, 95: 1, 409: 1, 111: 1, 4: 5, 5: 4, 29: 1, 14: 2, 52: 2, 133: 1, 18: 1, 125: 1, 10: 1, 115326: 1, 3: 4, 19: 2, 15: 3, 26: 2, 1: 10, 11: 2, 35: 1, 270: 1, 6: 2, 2: 3, 23: 1, 380: 1, 818: 1, 114248: 1, 1422: 1, 143: 1, 473: 1, 37: 2, 192: 1, 27: 1, 8: 1, 68: 1, 20: 1, 73: 1, 82: 1, 12: 2, 33: 1, 44: 1, 22: 1}"
9,1,83,0.6946484940281709,6.843373493975903,2847.2048192771085,"{12: 3, 4: 6, 20: 1, 14: 3, 16: 1, 17: 1, 11: 4, 8: 2, 9: 2, 18: 1, 2: 9, 3: 9, 7: 5, 6: 10, 5: 3, 1: 16, 15: 1, 23: 1, 36: 1, 19: 1, 27: 1, 13: 2}","{215: 1, 7: 3, 297: 1, 110: 1, 241: 1, 257: 1, 154: 1, 85: 1, 95: 1, 326: 1, 111: 1, 4: 5, 5: 4, 29: 1, 14: 2, 52: 2, 133: 1, 18: 1, 125: 1, 10: 1, 115326: 1, 3: 4, 19: 2, 15: 3, 26: 2, 1: 10, 11: 2, 35: 1, 270: 1, 6: 2, 2: 3, 23: 1, 380: 1, 818: 1, 114248: 1, 1422: 1, 143: 1, 390: 1, 37: 2, 192: 1, 27: 1, 8: 1, 68: 1, 20: 1, 73: 1, 82: 1, 12: 2, 33: 1, 44: 1, 22: 1}"
