edges_removed,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length,average_degree,average_weighted_degree,degree_distribution,weighted_degree_distribution
0,2,90,2.5485642946317104,8.326086956521738,2826.4347826086955,"{14: 2, 17: 1, 2: 11, 4: 6, 11: 4, 20: 4, 16: 3, 12: 3, 9: 6, 10: 1, 13: 3, 19: 2, 22: 1, 1: 16, 7: 3, 3: 9, 8: 2, 5: 4, 6: 4, 34: 1, 28: 1, 42: 1, 31: 1, 15: 3}","{260: 1, 2567: 1, 2: 7, 119164: 1, 380: 1, 512: 1, 278: 1, 130: 1, 1197: 1, 179: 1, 49: 2, 219: 1, 71: 1, 233: 1, 268: 1, 866: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 431: 1, 32: 2, 30: 1, 381: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 2072: 1, 118586: 1, 101: 1, 1317: 1, 642: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
1,2,90,0.5827669933858282,8.304347826086957,380.7826086956522,"{14: 2, 17: 1, 2: 11, 3: 10, 11: 4, 20: 4, 16: 3, 12: 3, 9: 6, 10: 1, 13: 3, 19: 2, 22: 1, 1: 16, 7: 3, 8: 2, 5: 4, 4: 5, 6: 4, 34: 1, 27: 1, 42: 1, 31: 1, 15: 3}","{260: 1, 2567: 1, 2: 7, 6664: 1, 380: 1, 512: 1, 278: 1, 130: 1, 1197: 1, 179: 1, 49: 2, 219: 1, 71: 1, 233: 1, 268: 1, 866: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 431: 1, 32: 2, 30: 1, 381: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 2072: 1, 6086: 1, 101: 1, 1317: 1, 642: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
2,2,90,0.5861835859831489,8.282608695652174,335.30434782608694,"{14: 2, 16: 4, 2: 11, 3: 10, 11: 4, 20: 4, 12: 3, 9: 6, 10: 1, 13: 3, 19: 2, 22: 1, 1: 16, 7: 3, 8: 2, 5: 4, 4: 5, 6: 4, 34: 1, 26: 1, 42: 1, 31: 1, 15: 3}","{260: 1, 475: 1, 2: 7, 6664: 1, 380: 1, 512: 1, 278: 1, 130: 1, 1197: 1, 179: 1, 49: 2, 219: 1, 71: 1, 233: 1, 268: 1, 866: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 431: 1, 32: 2, 30: 1, 381: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 2072: 1, 3994: 1, 101: 1, 1317: 1, 642: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
3,2,90,0.5884701756662674,8.26086956521739,332.4130434782609,"{14: 2, 16: 4, 2: 11, 3: 10, 11: 4, 19: 3, 12: 3, 20: 3, 9: 6, 10: 1, 13: 3, 22: 1, 1: 16, 7: 3, 8: 2, 5: 4, 4: 5, 6: 4, 34: 1, 25: 1, 42: 1, 31: 1, 15: 3}","{260: 1, 475: 1, 2: 7, 6664: 1, 380: 1, 379: 1, 278: 1, 130: 1, 1197: 1, 179: 1, 49: 2, 219: 1, 71: 1, 233: 1, 268: 1, 866: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 431: 1, 32: 2, 30: 1, 381: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 2072: 1, 3861: 1, 101: 1, 1317: 1, 642: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
4,2,90,0.595396188386905,8.23913043478261,313.0869565217391,"{14: 2, 16: 4, 2: 11, 3: 10, 11: 4, 19: 4, 12: 3, 9: 6, 10: 1, 13: 3, 22: 1, 1: 16, 7: 3, 8: 2, 5: 4, 4: 5, 6: 4, 34: 1, 24: 1, 42: 1, 31: 1, 15: 3, 20: 2}","{260: 1, 475: 1, 2: 7, 6664: 1, 380: 1, 379: 1, 278: 1, 130: 1, 308: 1, 179: 1, 49: 2, 219: 1, 71: 1, 233: 1, 268: 1, 866: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 431: 1, 32: 2, 30: 1, 381: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 2072: 1, 2972: 1, 101: 1, 1317: 1, 642: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
5,2,90,0.5959585938016242,8.217391304347826,309.0217391304348,"{14: 2, 16: 4, 2: 11, 3: 10, 11: 4, 19: 4, 12: 3, 9: 6, 10: 1, 13: 3, 22: 1, 1: 16, 7: 2, 6: 5, 8: 2, 5: 4, 4: 5, 34: 1, 24: 1, 41: 1, 31: 1, 15: 3, 20: 2}","{260: 1, 475: 1, 2: 7, 6664: 1, 380: 1, 379: 1, 278: 1, 130: 1, 308: 1, 179: 1, 49: 2, 219: 1, 71: 1, 233: 1, 268: 1, 866: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 244: 1, 32: 2, 30: 1, 381: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 2072: 1, 2972: 1, 101: 1, 1130: 1, 642: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
6,2,90,0.5989214581904421,8.195652173913043,292.2826086956522,"{14: 2, 16: 3, 2: 11, 3: 10, 11: 4, 19: 4, 12: 3, 9: 6, 10: 1, 13: 3, 22: 1, 15: 4, 1: 16, 7: 2, 6: 5, 8: 2, 5: 4, 4: 5, 34: 1, 23: 1, 41: 1, 31: 1, 20: 2}","{260: 1, 475: 1, 2: 7, 6664: 1, 380: 1, 379: 1, 278: 1, 130: 1, 308: 1, 179: 1, 49: 2, 219: 1, 71: 1, 233: 1, 268: 1, 96: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 244: 1, 32: 2, 30: 1, 381: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 2072: 1, 2202: 1, 101: 1, 1130: 1, 642: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
7,2,90,0.6007121788777329,8.173913043478262,288.8478260869565,"{14: 2, 16: 3, 2: 11, 3: 10, 11: 4, 18: 1, 12: 3, 19: 3, 9: 6, 10: 1, 13: 3, 22: 1, 15: 4, 1: 16, 7: 2, 6: 5, 8: 2, 5: 4, 4: 5, 34: 1, 23: 1, 41: 1, 30: 1, 20: 2}","{260: 1, 475: 1, 2: 7, 6664: 1, 380: 1, 221: 1, 278: 1, 130: 1, 308: 1, 179: 1, 49: 2, 219: 1, 71: 1, 233: 1, 268: 1, 96: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 244: 1, 32: 2, 30: 1, 381: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 2072: 1, 2202: 1, 101: 1, 1130: 1, 484: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
8,2,90,0.6023289207324045,8.152173913043478,288.30434782608694,"{14: 2, 16: 2, 2: 11, 3: 10, 11: 4, 18: 1, 15: 5, 12: 3, 19: 3, 9: 6, 10: 1, 13: 3, 22: 1, 1: 16, 7: 2, 6: 5, 8: 2, 5: 4, 4: 5, 34: 1, 23: 1, 40: 1, 30: 1, 20: 2}","{260: 1, 475: 1, 2: 7, 6664: 1, 380: 1, 221: 1, 253: 1, 130: 1, 308: 1, 179: 1, 49: 2, 219: 1, 71: 1, 233: 1, 268: 1, 96: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 244: 1, 32: 2, 30: 1, 381: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 2072: 1, 2202: 1, 101: 1, 1105: 1, 484: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
9,2,90,0.6031638352270917,8.130434782608695,267.0,"{14: 2, 16: 2, 2: 12, 11: 4, 18: 1, 15: 5, 12: 3, 19: 3, 9: 6, 10: 1, 13: 3, 22: 1, 1: 16, 7: 2, 3: 9, 6: 5, 8: 2, 5: 4, 4: 5, 33: 1, 23: 1, 40: 1, 30: 1, 20: 2}","{260: 1, 475: 1, 2: 7, 5684: 1, 380: 1, 221: 1, 253: 1, 130: 1, 308: 1, 179: 1, 49: 2, 219: 1, 71: 1, 233: 1, 268: 1, 96: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 244: 1, 32: 2, 30: 1, 381: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 1092: 1, 2202: 1, 101: 1, 1105: 1, 484: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
10,2,90,0.6094902596114046,8.108695652173912,264.0,"{14: 2, 15: 6, 2: 12, 11: 4, 18: 2, 12: 3, 19: 2, 9: 6, 10: 1, 13: 3, 22: 1, 1: 16, 7: 2, 3: 9, 6: 5, 8: 2, 5: 4, 4: 5, 16: 1, 33: 1, 23: 1, 40: 1, 30: 1, 20: 2}","{260: 1, 337: 1, 2: 7, 5684: 1, 380: 1, 221: 1, 253: 1, 130: 1, 308: 1, 179: 1, 49: 2, 219: 1, 71: 1, 233: 1, 268: 1, 96: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 244: 1, 32: 2, 30: 1, 381: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 1092: 1, 2202: 1, 101: 1, 1105: 1, 484: 1, 5761: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
11,2,90,0.6112955359546414,8.08695652173913,258.6304347826087,"{14: 1, 15: 6, 2: 12, 11: 4, 18: 2, 12: 3, 19: 2, 9: 6, 10: 1, 13: 4, 22: 2, 1: 16, 7: 2, 3: 9, 6: 5, 8: 2, 5: 4, 4: 5, 16: 1, 33: 1, 40: 1, 30: 1, 20: 2}","{260: 1, 337: 1, 2: 7, 5684: 1, 380: 1, 221: 1, 253: 1, 130: 1, 308: 1, 179: 1, 49: 2, 219: 1, 71: 1, 233: 1, 268: 1, 96: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 244: 1, 32: 2, 30: 1, 134: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 1092: 1, 1955: 1, 101: 1, 1105: 1, 484: 1, 5761: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
12,2,90,0.6130497190074885,8.065217391304348,256.39130434782606,"{14: 1, 15: 6, 2: 12, 11: 4, 18: 2, 12: 3, 19: 2, 9: 6, 10: 1, 13: 4, 21: 2, 1: 16, 7: 2, 3: 9, 6: 5, 8: 2, 5: 4, 4: 5, 16: 1, 33: 1, 40: 1, 30: 1, 20: 2}","{260: 1, 337: 1, 2: 7, 5684: 1, 380: 1, 221: 1, 253: 1, 130: 1, 308: 1, 179: 1, 49: 2, 219: 1, 71: 1, 233: 1, 165: 1, 96: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 244: 1, 32: 2, 30: 1, 134: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 1092: 1, 1852: 1, 101: 1, 1105: 1, 484: 1, 5761: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
13,2,90,0.613586217938897,8.043478260869565,254.30434782608697,"{14: 1, 15: 6, 2: 12, 11: 4, 18: 2, 12: 4, 19: 2, 9: 6, 10: 1, 13: 3, 21: 2, 1: 16, 7: 2, 3: 9, 6: 5, 8: 2, 5: 4, 4: 5, 16: 1, 33: 1, 39: 1, 30: 1, 20: 2}","{260: 1, 337: 1, 2: 7, 5684: 1, 380: 1, 221: 1, 253: 1, 130: 1, 308: 1, 179: 1, 49: 2, 123: 1, 71: 1, 233: 1, 165: 1, 96: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 244: 1, 32: 2, 30: 1, 134: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 1092: 1, 1852: 1, 101: 1, 1009: 1, 484: 1, 5761: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
