edges_removed,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length,average_degree,average_weighted_degree,degree_distribution,weighted_degree_distribution
0,1,80,2.5015822784810124,8.1,3037.875,"{15: 4, 3: 7, 17: 1, 14: 6, 10: 3, 6: 4, 9: 2, 4: 11, 19: 2, 21: 1, 1: 10, 5: 3, 18: 1, 8: 3, 7: 4, 2: 9, 11: 3, 23: 1, 26: 1, 33: 1, 35: 1, 16: 1, 12: 1}","{322: 1, 116830: 1, 224: 1, 1287: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 427: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 405: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 117138: 1, 1812: 1, 27: 2, 572: 1, 347: 1, 154: 1, 83: 1, 694: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
1,1,80,0.5552934480318392,8.075,3007.75,"{15: 4, 2: 10, 17: 1, 14: 6, 10: 3, 6: 4, 9: 2, 4: 11, 19: 2, 21: 1, 1: 10, 5: 3, 18: 1, 8: 3, 7: 4, 11: 3, 3: 6, 23: 1, 25: 1, 33: 1, 35: 1, 16: 1, 12: 1}","{322: 1, 115625: 1, 224: 1, 1287: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 427: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 405: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 117138: 1, 607: 1, 27: 2, 572: 1, 347: 1, 154: 1, 83: 1, 694: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
2,1,80,0.5585391517036683,8.05,3003.175,"{15: 4, 2: 10, 16: 2, 14: 6, 10: 3, 6: 4, 9: 2, 4: 11, 19: 2, 21: 1, 1: 10, 5: 3, 18: 1, 8: 3, 7: 4, 11: 3, 3: 6, 23: 1, 24: 1, 33: 1, 35: 1, 12: 1}","{322: 1, 115625: 1, 224: 1, 1104: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 427: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 405: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 117138: 1, 424: 1, 27: 2, 572: 1, 347: 1, 154: 1, 83: 1, 694: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
3,1,80,0.5596245960152835,8.025,2982.1,"{15: 5, 2: 10, 14: 6, 10: 3, 6: 4, 9: 2, 4: 11, 19: 2, 21: 1, 1: 10, 5: 3, 18: 1, 8: 3, 7: 4, 11: 3, 3: 6, 22: 1, 24: 1, 33: 1, 35: 1, 16: 1, 12: 1}","{322: 1, 115625: 1, 224: 1, 261: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 427: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 405: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 116295: 1, 424: 1, 27: 2, 572: 1, 347: 1, 154: 1, 83: 1, 694: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
4,1,80,0.5619582921384028,8.0,2979.075,"{15: 5, 2: 10, 14: 5, 10: 3, 6: 4, 9: 2, 4: 11, 19: 2, 21: 2, 1: 10, 5: 3, 18: 1, 13: 1, 8: 3, 7: 4, 11: 3, 3: 6, 24: 1, 33: 1, 35: 1, 16: 1, 12: 1}","{322: 1, 115625: 1, 224: 1, 261: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 427: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 284: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 116174: 1, 424: 1, 27: 2, 572: 1, 347: 1, 154: 1, 83: 1, 694: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
5,1,80,0.5631824320793228,7.975,2976.95,"{15: 5, 2: 10, 14: 5, 10: 3, 6: 4, 9: 2, 4: 11, 18: 2, 21: 2, 1: 10, 5: 3, 13: 1, 8: 3, 7: 4, 11: 3, 3: 6, 24: 1, 32: 1, 35: 1, 16: 1, 19: 1, 12: 1}","{322: 1, 115625: 1, 224: 1, 261: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 342: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 284: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 116174: 1, 424: 1, 27: 2, 487: 1, 347: 1, 154: 1, 83: 1, 694: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
6,1,80,0.5664299874260872,7.95,2974.825,"{15: 5, 2: 10, 13: 2, 10: 3, 6: 4, 9: 2, 4: 11, 18: 2, 21: 2, 1: 10, 5: 3, 14: 4, 8: 3, 7: 4, 11: 3, 3: 6, 24: 1, 31: 1, 35: 1, 16: 1, 19: 1, 12: 1}","{322: 1, 115625: 1, 224: 1, 261: 1, 250: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 342: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 284: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 116174: 1, 424: 1, 27: 2, 402: 1, 347: 1, 154: 1, 83: 1, 694: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
7,1,80,0.5692884920462894,7.925,2973.875,"{15: 4, 2: 10, 14: 5, 13: 2, 10: 3, 6: 4, 9: 2, 4: 11, 18: 2, 21: 2, 1: 10, 5: 3, 8: 3, 7: 4, 11: 3, 3: 6, 24: 1, 31: 1, 34: 1, 16: 1, 19: 1, 12: 1}","{322: 1, 115625: 1, 224: 1, 223: 1, 250: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 342: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 284: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 116174: 1, 424: 1, 27: 2, 402: 1, 347: 1, 154: 1, 83: 1, 656: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
8,1,80,0.5719047418635228,7.9,2968.225,"{14: 6, 2: 10, 15: 3, 13: 2, 10: 3, 6: 4, 9: 2, 4: 11, 18: 2, 21: 1, 1: 10, 5: 3, 8: 3, 7: 4, 11: 3, 3: 6, 20: 1, 24: 1, 31: 1, 34: 1, 16: 1, 19: 1, 12: 1}","{96: 1, 115625: 1, 224: 1, 223: 1, 250: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 342: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 284: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 115948: 1, 424: 1, 27: 2, 402: 1, 347: 1, 154: 1, 83: 1, 656: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
9,1,80,0.5743072468165843,7.875,2965.825,"{14: 6, 2: 10, 15: 3, 12: 2, 10: 3, 6: 4, 9: 2, 4: 11, 18: 2, 21: 1, 1: 10, 5: 3, 13: 1, 8: 3, 7: 4, 11: 3, 3: 6, 20: 1, 24: 1, 31: 1, 33: 1, 16: 1, 19: 1}","{96: 1, 115625: 1, 224: 1, 223: 1, 154: 2, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 342: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 284: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 115948: 1, 424: 1, 27: 2, 402: 1, 347: 1, 83: 1, 560: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
