nodes_removed,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length,average_degree,average_weighted_degree,degree_distribution,weighted_degree_distribution
0,1,83,0.6642700648618185,7.0602409638554215,2922.9638554216867,"{14: 3, 4: 7, 23: 1, 16: 2, 17: 1, 11: 3, 8: 2, 9: 2, 20: 1, 2: 9, 3: 8, 7: 5, 6: 10, 15: 2, 5: 3, 1: 16, 24: 1, 37: 1, 13: 3, 19: 1, 28: 1, 12: 1}","{394: 1, 7: 3, 2084: 1, 110: 1, 241: 1, 257: 1, 154: 1, 85: 1, 95: 1, 553: 1, 111: 1, 4: 5, 5: 4, 29: 1, 14: 2, 52: 2, 725: 1, 18: 1, 125: 1, 10: 1, 115685: 1, 3: 4, 19: 2, 15: 3, 26: 2, 1: 10, 11: 2, 35: 1, 270: 1, 6: 2, 2: 3, 23: 1, 739: 1, 876: 1, 116686: 1, 1628: 1, 143: 1, 473: 1, 37: 2, 192: 1, 27: 1, 8: 1, 68: 1, 20: 1, 73: 1, 82: 1, 12: 2, 33: 1, 44: 1, 22: 1}"
1,6,77,0.7083527557977146,6.2439024390243905,2937.243902439024,"{13: 5, 3: 9, 22: 1, 15: 1, 16: 2, 10: 2, 7: 3, 8: 2, 19: 2, 2: 14, 6: 8, 5: 7, 14: 3, 4: 2, 0: 5, 1: 11, 24: 1, 28: 1, 11: 1, 9: 1, 12: 1}","{313: 1, 5: 5, 2026: 1, 65: 1, 182: 1, 179: 1, 49: 1, 33: 2, 58: 1, 416: 1, 40: 1, 4: 4, 22: 3, 13: 2, 36: 1, 702: 1, 10: 3, 91: 1, 115684: 1, 0: 5, 6: 3, 51: 1, 25: 1, 3: 3, 26: 2, 12: 3, 1: 8, 264: 1, 7: 2, 11: 1, 2: 3, 739: 1, 116686: 1, 1628: 1, 143: 1, 473: 1, 37: 2, 192: 1, 27: 1, 8: 1, 68: 1, 20: 1, 73: 1, 82: 1, 19: 1, 14: 1, 44: 1}"
2,6,76,0.7328823134500986,5.851851851851852,2963.2345679012346,"{13: 3, 3: 9, 22: 1, 15: 2, 16: 1, 10: 3, 7: 2, 8: 2, 2: 13, 6: 7, 5: 9, 14: 2, 4: 3, 0: 5, 1: 12, 23: 1, 12: 3, 18: 1, 27: 1, 11: 1}","{313: 1, 5: 5, 2026: 1, 65: 1, 182: 1, 179: 1, 49: 1, 33: 2, 58: 1, 40: 1, 4: 4, 22: 3, 13: 2, 36: 1, 702: 1, 10: 3, 91: 1, 115684: 1, 0: 5, 6: 4, 51: 2, 25: 1, 3: 3, 26: 1, 12: 3, 1: 9, 264: 1, 7: 2, 11: 1, 2: 2, 710: 1, 116542: 1, 1625: 1, 122: 1, 390: 1, 131: 1, 27: 1, 63: 2, 19: 2, 31: 1, 18: 1, 8: 1, 32: 1, 44: 1}"
3,8,73,0.787281178408011,5.55,86.725,"{12: 5, 3: 8, 21: 1, 14: 1, 15: 1, 10: 3, 7: 2, 8: 2, 2: 11, 5: 9, 4: 4, 13: 3, 0: 7, 1: 13, 6: 6, 23: 1, 18: 1, 27: 1, 11: 1}","{205: 1, 5: 4, 432: 1, 61: 1, 172: 2, 49: 1, 33: 2, 58: 1, 40: 1, 4: 4, 21: 1, 13: 2, 20: 1, 110: 1, 10: 4, 91: 1, 1679: 1, 0: 7, 6: 3, 51: 2, 3: 3, 26: 1, 12: 3, 1: 10, 95: 1, 7: 2, 2: 2, 22: 2, 710: 1, 1625: 1, 122: 1, 390: 1, 131: 1, 27: 1, 63: 2, 19: 2, 31: 1, 18: 1, 8: 1, 32: 1, 44: 1}"
4,12,68,0.8045012871050794,5.0886075949367084,76.88607594936708,"{12: 2, 3: 6, 14: 1, 15: 1, 10: 2, 7: 2, 8: 1, 2: 11, 5: 9, 4: 6, 13: 3, 0: 11, 1: 11, 6: 5, 22: 1, 11: 4, 17: 1, 26: 1, 9: 1}","{205: 1, 5: 5, 61: 1, 172: 2, 49: 1, 33: 1, 58: 1, 40: 1, 4: 3, 21: 2, 13: 2, 20: 1, 110: 1, 10: 4, 91: 1, 1679: 1, 0: 11, 6: 2, 51: 1, 3: 3, 26: 1, 12: 3, 1: 7, 95: 1, 7: 2, 2: 3, 22: 1, 551: 1, 1490: 1, 86: 2, 371: 1, 31: 1, 16: 1, 63: 2, 15: 1, 19: 1, 50: 1, 29: 2, 18: 1, 44: 1}"
5,14,65,0.8709609918039516,4.487179487179487,68.35897435897436,"{11: 6, 2: 12, 13: 2, 14: 1, 9: 3, 6: 5, 7: 2, 1: 12, 4: 12, 12: 2, 0: 13, 3: 2, 5: 4, 22: 1, 17: 1}","{164: 1, 3: 6, 30: 1, 70: 1, 138: 1, 27: 2, 39: 1, 15: 2, 4: 1, 2: 5, 12: 6, 20: 1, 98: 1, 10: 2, 80: 1, 8: 1, 1679: 1, 0: 13, 50: 2, 5: 4, 9: 1, 6: 1, 1: 6, 82: 1, 22: 1, 551: 1, 1490: 1, 86: 2, 31: 1, 16: 1, 63: 2, 19: 1, 29: 2, 18: 1, 7: 1, 44: 1, 21: 1}"
6,14,64,0.8921332948512897,4.4935064935064934,25.636363636363637,"{11: 5, 2: 11, 13: 2, 14: 1, 9: 3, 6: 5, 7: 2, 1: 12, 4: 12, 12: 2, 0: 13, 3: 2, 5: 4, 21: 1, 10: 1, 17: 1}","{164: 1, 3: 6, 30: 1, 70: 1, 138: 1, 27: 2, 39: 1, 15: 2, 4: 1, 2: 5, 12: 6, 20: 1, 98: 1, 10: 2, 80: 1, 8: 1, 0: 13, 50: 2, 5: 4, 9: 1, 6: 1, 1: 6, 82: 1, 22: 1, 192: 1, 170: 1, 86: 2, 31: 1, 16: 1, 63: 2, 19: 1, 29: 2, 18: 1, 7: 1, 44: 1, 21: 1}"
7,14,63,0.9577103693511009,4.184210526315789,22.342105263157894,"{11: 2, 2: 11, 13: 2, 9: 2, 6: 2, 7: 2, 1: 12, 4: 13, 12: 2, 0: 13, 3: 4, 5: 4, 20: 1, 10: 4, 16: 1, 8: 1}","{164: 1, 3: 6, 30: 2, 70: 1, 27: 2, 39: 1, 15: 3, 4: 1, 2: 5, 12: 5, 20: 1, 98: 1, 10: 2, 80: 1, 8: 1, 0: 13, 50: 1, 5: 5, 9: 2, 6: 3, 1: 6, 82: 1, 22: 1, 167: 1, 170: 1, 56: 1, 67: 1, 63: 1, 41: 1, 45: 1, 26: 1, 28: 1, 43: 1, 21: 1}"
8,14,62,0.9566944883055539,4.16,21.893333333333334,"{10: 5, 2: 11, 11: 2, 13: 2, 9: 2, 6: 2, 7: 2, 1: 12, 4: 12, 12: 1, 0: 13, 3: 4, 5: 4, 20: 1, 16: 1, 8: 1}","{163: 1, 3: 6, 30: 2, 70: 1, 27: 2, 39: 1, 15: 3, 4: 1, 2: 5, 12: 5, 20: 1, 98: 1, 10: 2, 80: 2, 8: 1, 0: 13, 25: 1, 5: 5, 9: 2, 6: 3, 1: 6, 22: 1, 167: 1, 170: 1, 56: 1, 67: 1, 63: 1, 41: 1, 45: 1, 26: 1, 43: 1, 21: 1}"
9,14,61,1.065934578826863,3.972972972972973,20.027027027027028,"{10: 2, 2: 11, 11: 2, 13: 2, 9: 4, 6: 2, 7: 2, 1: 12, 4: 12, 12: 1, 0: 13, 3: 6, 5: 2, 19: 1, 15: 1, 8: 1}","{163: 1, 3: 7, 30: 2, 70: 1, 27: 2, 39: 1, 15: 2, 4: 2, 2: 5, 12: 5, 20: 1, 98: 1, 10: 2, 8: 1, 0: 13, 25: 1, 5: 4, 9: 3, 6: 2, 1: 6, 80: 1, 22: 1, 160: 1, 170: 1, 34: 1, 56: 1, 63: 1, 40: 1, 28: 1, 14: 1, 43: 1, 21: 1}"
