nodes_removed,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length,average_degree,average_weighted_degree,degree_distribution,weighted_degree_distribution
0,1,80,0.5534929968419784,8.1,3037.875,"{15: 4, 3: 7, 17: 1, 14: 6, 10: 3, 6: 4, 9: 2, 4: 11, 19: 2, 21: 1, 1: 10, 5: 3, 18: 1, 8: 3, 7: 4, 2: 9, 11: 3, 23: 1, 26: 1, 33: 1, 35: 1, 16: 1, 12: 1}","{322: 1, 116830: 1, 224: 1, 1287: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 427: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 405: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 117138: 1, 1812: 1, 27: 2, 572: 1, 347: 1, 154: 1, 83: 1, 694: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
1,2,78,0.5595174554442576,7.7215189873417724,3065.518987341772,"{15: 3, 3: 7, 17: 1, 14: 6, 10: 3, 6: 4, 9: 2, 4: 12, 21: 1, 1: 9, 5: 4, 18: 2, 8: 4, 7: 2, 2: 9, 11: 2, 22: 1, 25: 1, 32: 1, 13: 2, 34: 1, 12: 1, 0: 1}","{322: 1, 116830: 1, 224: 1, 1287: 1, 335: 1, 79: 1, 20: 1, 52: 1, 41: 1, 71: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 405: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 6, 11: 3, 30: 1, 26: 1, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 2, 6: 2, 148: 1, 117137: 1, 1711: 1, 23: 2, 487: 1, 347: 1, 142: 1, 67: 1, 522: 1, 92: 1, 117: 1, 31: 2, 120: 1, 82: 1, 4: 1, 22: 1, 17: 1, 24: 1, 8: 1, 27: 1, 0: 1}"
2,2,77,0.5755217413552047,7.17948717948718,3060.948717948718,"{14: 4, 2: 10, 16: 1, 13: 6, 9: 2, 5: 5, 8: 2, 3: 9, 20: 1, 1: 10, 4: 9, 17: 1, 7: 5, 10: 3, 22: 1, 32: 1, 11: 1, 34: 1, 15: 1, 18: 1, 12: 1, 6: 2, 0: 1}","{303: 1, 115625: 1, 197: 1, 1104: 1, 287: 1, 49: 1, 16: 1, 43: 1, 31: 3, 59: 1, 171: 1, 135: 1, 12: 2, 5: 1, 15: 1, 132: 1, 139: 1, 363: 1, 57: 1, 17: 2, 148: 2, 39: 1, 2: 6, 11: 3, 30: 1, 23: 3, 4: 3, 56: 1, 21: 1, 25: 1, 1: 6, 45: 1, 10: 1, 3: 3, 9: 3, 6: 2, 117137: 1, 487: 1, 347: 1, 142: 1, 67: 1, 522: 1, 92: 1, 117: 1, 120: 1, 82: 1, 22: 1, 24: 1, 8: 1, 7: 1, 27: 1, 0: 1}"
3,3,75,0.627207051913459,6.441558441558442,3088.051948051948,"{13: 4, 2: 9, 15: 2, 12: 5, 8: 2, 4: 6, 7: 2, 3: 11, 19: 1, 1: 13, 5: 3, 16: 1, 6: 6, 9: 3, 0: 2, 22: 1, 10: 1, 11: 1, 14: 2, 34: 1, 18: 1}","{270: 1, 115625: 1, 117: 2, 1084: 1, 202: 1, 34: 1, 12: 1, 40: 1, 31: 3, 58: 1, 131: 1, 135: 1, 9: 3, 5: 1, 15: 1, 87: 1, 96: 1, 325: 1, 49: 1, 13: 1, 148: 2, 26: 1, 1: 8, 3: 4, 27: 2, 20: 1, 11: 3, 4: 4, 45: 1, 16: 1, 23: 3, 0: 2, 42: 1, 2: 4, 7: 2, 6: 1, 117137: 1, 347: 1, 142: 1, 67: 1, 522: 1, 92: 1, 120: 1, 82: 1, 22: 1, 17: 1, 24: 1, 8: 1}"
4,4,73,0.678293750044432,5.947368421052632,46.13157894736842,"{12: 4, 1: 14, 14: 3, 11: 4, 7: 1, 3: 11, 6: 5, 2: 9, 18: 2, 0: 3, 5: 6, 4: 4, 15: 2, 9: 2, 8: 2, 10: 1, 13: 2, 34: 1}","{44: 1, 180: 1, 115: 1, 241: 1, 178: 1, 33: 1, 11: 5, 34: 1, 10: 1, 47: 1, 129: 1, 0: 3, 9: 3, 5: 1, 15: 1, 52: 1, 69: 1, 204: 1, 49: 1, 12: 1, 55: 1, 26: 1, 1: 9, 3: 4, 27: 2, 20: 1, 4: 4, 39: 1, 23: 3, 25: 1, 2: 4, 7: 2, 38: 1, 347: 1, 142: 1, 67: 1, 522: 1, 92: 1, 117: 1, 31: 2, 120: 1, 82: 1, 22: 1, 17: 1, 24: 1, 8: 1}"
5,4,72,0.6868387865064889,6.0,41.946666666666665,"{12: 4, 14: 3, 11: 3, 7: 1, 3: 11, 6: 5, 2: 9, 18: 2, 0: 3, 5: 6, 4: 4, 15: 2, 1: 13, 9: 2, 8: 2, 10: 2, 13: 2, 34: 1}","{44: 1, 115: 1, 241: 1, 178: 1, 33: 1, 11: 5, 34: 1, 10: 1, 47: 1, 129: 1, 0: 3, 9: 3, 5: 1, 15: 1, 52: 1, 69: 1, 204: 1, 49: 1, 12: 1, 55: 1, 26: 1, 1: 9, 3: 4, 27: 2, 20: 1, 4: 4, 39: 1, 23: 3, 25: 1, 2: 4, 7: 2, 38: 1, 167: 1, 142: 1, 67: 1, 522: 1, 92: 1, 117: 1, 31: 2, 120: 1, 82: 1, 22: 1, 17: 1, 24: 1, 8: 1}"
6,6,69,1.0287060196685751,5.162162162162162,28.405405405405407,"{11: 3, 13: 3, 10: 5, 6: 3, 2: 11, 5: 5, 1: 16, 17: 1, 0: 5, 4: 7, 3: 5, 14: 3, 8: 2, 7: 1, 15: 1, 18: 1, 12: 1, 9: 1}","{30: 1, 99: 1, 203: 1, 82: 2, 15: 1, 2: 11, 10: 1, 7: 2, 112: 1, 0: 5, 1: 10, 4: 2, 14: 1, 28: 2, 43: 1, 155: 1, 40: 1, 5: 2, 38: 2, 21: 1, 3: 5, 25: 1, 18: 1, 23: 2, 167: 1, 142: 1, 67: 1, 11: 2, 92: 1, 117: 1, 31: 2, 120: 1, 22: 1, 17: 1, 24: 1, 8: 1, 9: 1, 27: 1}"
7,7,67,1.1632127146924682,4.767123287671233,25.726027397260275,"{11: 4, 13: 3, 10: 4, 6: 1, 2: 11, 5: 6, 1: 16, 0: 6, 4: 7, 3: 5, 14: 2, 8: 2, 7: 2, 9: 1, 12: 2, 17: 1}","{30: 1, 99: 1, 203: 1, 82: 1, 15: 3, 2: 11, 10: 1, 7: 1, 0: 6, 1: 10, 4: 2, 14: 2, 28: 3, 43: 1, 155: 1, 40: 1, 5: 2, 38: 2, 21: 1, 3: 5, 25: 1, 18: 1, 167: 1, 136: 1, 62: 1, 11: 2, 22: 3, 85: 1, 93: 1, 116: 1, 77: 1, 8: 1, 9: 1, 6: 1}"
8,7,66,1.352854483980006,4.472222222222222,20.444444444444443,"{11: 5, 10: 3, 6: 2, 2: 11, 5: 5, 1: 17, 0: 6, 4: 6, 3: 6, 14: 1, 8: 3, 7: 1, 9: 1, 12: 3, 13: 1, 16: 1}","{30: 1, 99: 1, 82: 1, 15: 2, 2: 11, 10: 1, 7: 2, 0: 6, 1: 10, 4: 3, 14: 1, 28: 3, 43: 1, 155: 1, 40: 1, 5: 2, 38: 2, 21: 2, 3: 7, 25: 1, 18: 1, 12: 1, 83: 2, 77: 1, 61: 1, 11: 1, 62: 1, 116: 1, 73: 1, 22: 2, 13: 1}"
9,7,65,1.4722654591249607,4.253521126760563,18.422535211267604,"{11: 5, 6: 1, 2: 12, 5: 5, 1: 18, 0: 6, 4: 7, 3: 4, 10: 3, 14: 1, 8: 2, 7: 2, 9: 1, 12: 3, 15: 1}","{30: 1, 99: 1, 15: 2, 2: 12, 10: 1, 7: 3, 0: 6, 1: 11, 4: 3, 14: 1, 28: 2, 43: 1, 155: 1, 40: 1, 5: 3, 38: 2, 21: 1, 3: 5, 25: 1, 18: 1, 12: 1, 83: 1, 75: 1, 54: 1, 37: 1, 60: 1, 116: 1, 73: 1, 22: 2, 13: 1, 26: 1}"
