nodes_removed,size_of_largest_component,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length
0,83.0,1.0,83.0,287292.28739347635
1,81.7,1.3,0.0,0.0
2,80.25,1.75,0.0,0.0
3,78.95,2.05,0.0,0.0
4,77.9,2.1,0.0,0.0
5,76.85,2.15,0.0,0.0
6,75.85,2.15,0.0,0.0
7,74.35,2.65,0.0,0.0
8,72.85,3.15,0.0,0.0
9,71.45,3.55,0.0,0.0
10,70.45,3.55,0.0,0.0
11,69.2,3.8,0.0,0.0
12,68.15,3.85,0.0,0.0
13,67.05,3.95,0.0,0.0
14,66.1,3.9,0.0,0.0
15,65.2,3.8,0.0,0.0
16,64.0,4.0,0.0,0.0
17,62.85,4.15,0.0,0.0
18,61.55,4.45,0.0,0.0
19,60.4,4.6,0.0,0.0
20,59.6,4.4,0.0,0.0
21,58.35,4.6,0.0,0.0
22,57.2,4.75,0.0,0.0
23,56.2,4.75,0.0,0.0
24,54.95,5.0,0.0,0.0
25,53.7,5.25,0.0,0.0
26,52.75,5.2,0.0,0.0
27,51.5,5.45,0.0,0.0
28,50.35,5.6,0.0,0.0
29,49.45,5.5,0.0,0.0
30,48.5,5.4,0.0,0.0
31,47.45,5.45,0.0,0.0
32,46.25,5.6,0.0,0.0
33,45.0,5.85,0.0,0.0
34,44.0,5.85,0.0,0.0
35,42.85,6.0,0.0,0.0
36,41.7,6.15,0.0,0.0
37,40.2,6.6,0.0,0.0
38,39.05,6.75,0.0,0.0
39,37.8,6.9,0.0,0.0
40,36.7,7.0,0.0,0.0
41,35.8,7.0,0.0,0.0
42,34.7,7.1,0.0,0.0
43,33.6,7.25,0.0,0.0
44,32.4,7.45,0.0,0.0
45,31.35,7.5,0.0,0.0
46,30.6,7.25,0.0,0.0
47,29.7,7.2,0.0,0.0
48,28.6,7.3,0.0,0.0
49,27.6,7.3,0.0,0.0
50,26.35,7.5,0.0,0.0
51,25.35,7.5,0.0,0.0
52,24.4,7.4,0.0,0.0
53,23.55,7.25,0.0,0.0
54,22.35,7.45,0.0,0.0
55,21.1,7.7,0.0,0.0
56,19.95,7.8,0.0,0.0
57,19.15,7.65,0.0,0.0
58,18.15,7.65,0.0,0.0
59,17.3,7.55,0.0,0.0
60,16.3,7.55,0.0,0.0
61,15.35,7.45,0.0,0.0
62,14.5,7.3,0.0,0.0
63,13.55,7.2,0.0,0.0
64,12.8,7.05,0.0,0.0
65,12.0,6.9,0.0,0.0
66,11.15,6.75,0.0,0.0
67,10.3,6.6,0.0,0.0
68,8.9,6.9,0.0,0.0
69,8.1,6.7,0.0,0.0
70,6.95,6.85,0.0,0.0
71,6.25,6.55,0.0,0.0
72,5.8,6.05,0.0,0.0
73,4.75,6.15,0.0,0.0
74,3.75,6.2,0.0,0.0
75,3.45,5.5,0.0,0.0
76,2.55,5.4,0.0,0.0
77,2.2,4.8,0.0,0.0
78,1.7,4.3,0.0,0.0
79,1.45,3.55,0.0,0.0
80,1.3,2.7,0.0,0.0
81,1.0,2.0,0.0,0.0
82,1.0,1.0,0.0,0.0
83,0.0,0.0,0.0,0.0
