nodes_removed,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length,average_degree,average_weighted_degree,degree_distribution,weighted_degree_distribution
0,1,83,0.6642700648618185,7.0602409638554215,2922.9638554216867,"{14: 3, 4: 7, 23: 1, 16: 2, 17: 1, 11: 3, 8: 2, 9: 2, 20: 1, 2: 9, 3: 8, 7: 5, 6: 10, 15: 2, 5: 3, 1: 16, 24: 1, 37: 1, 13: 3, 19: 1, 28: 1, 12: 1}","{394: 1, 7: 3, 2084: 1, 110: 1, 241: 1, 257: 1, 154: 1, 85: 1, 95: 1, 553: 1, 111: 1, 4: 5, 5: 4, 29: 1, 14: 2, 52: 2, 725: 1, 18: 1, 125: 1, 10: 1, 115685: 1, 3: 4, 19: 2, 15: 3, 26: 2, 1: 10, 11: 2, 35: 1, 270: 1, 6: 2, 2: 3, 23: 1, 739: 1, 876: 1, 116686: 1, 1628: 1, 143: 1, 473: 1, 37: 2, 192: 1, 27: 1, 8: 1, 68: 1, 20: 1, 73: 1, 82: 1, 12: 2, 33: 1, 44: 1, 22: 1}"
1,3,80,0.708658041831416,6.7560975609756095,112.60975609756098,"{13: 5, 4: 6, 22: 1, 15: 1, 16: 1, 11: 3, 8: 2, 9: 2, 19: 2, 2: 8, 3: 8, 6: 10, 5: 4, 14: 3, 1: 16, 0: 2, 7: 4, 24: 1, 37: 1, 28: 1, 12: 1}","{286: 1, 7: 3, 490: 1, 106: 1, 231: 1, 250: 1, 154: 1, 85: 1, 95: 1, 409: 1, 111: 1, 4: 5, 5: 3, 28: 1, 14: 2, 36: 1, 133: 1, 18: 1, 125: 1, 10: 1, 1680: 1, 3: 4, 19: 2, 52: 1, 15: 3, 11: 2, 1: 11, 0: 2, 35: 1, 101: 1, 6: 1, 2: 3, 23: 1, 739: 1, 876: 1, 1628: 1, 143: 1, 473: 1, 37: 2, 192: 1, 27: 1, 8: 1, 68: 1, 26: 1, 20: 1, 73: 1, 82: 1, 12: 2, 33: 1, 44: 1, 22: 1}"
2,8,74,0.7643597238866852,5.925925925925926,92.37037037037037,"{12: 3, 3: 8, 21: 1, 14: 2, 15: 1, 10: 2, 7: 3, 8: 2, 18: 1, 2: 12, 5: 7, 4: 3, 13: 5, 0: 7, 1: 12, 6: 7, 24: 1, 19: 1, 28: 1, 11: 1, 9: 1}","{205: 1, 5: 4, 432: 1, 61: 1, 172: 2, 49: 1, 33: 2, 58: 1, 272: 1, 40: 1, 4: 4, 21: 1, 13: 2, 20: 2, 110: 1, 10: 4, 91: 1, 1679: 1, 0: 7, 6: 2, 51: 1, 3: 3, 26: 2, 12: 3, 1: 9, 95: 1, 7: 2, 2: 3, 22: 2, 739: 1, 1628: 1, 143: 1, 473: 1, 37: 2, 192: 1, 27: 1, 8: 1, 68: 1, 73: 1, 82: 1, 19: 1, 14: 1, 44: 1}"
3,10,71,0.8129923655192239,5.3,81.7,"{11: 3, 2: 13, 20: 1, 13: 4, 14: 2, 9: 3, 6: 7, 7: 3, 17: 1, 1: 13, 4: 9, 12: 3, 0: 9, 3: 4, 5: 2, 24: 1, 19: 1, 8: 1}","{164: 1, 3: 6, 413: 1, 30: 1, 70: 1, 138: 1, 27: 3, 39: 1, 189: 1, 15: 1, 4: 2, 2: 5, 12: 6, 20: 2, 98: 1, 10: 2, 80: 1, 8: 2, 1679: 1, 0: 9, 50: 1, 5: 3, 9: 1, 6: 1, 1: 8, 82: 2, 22: 2, 739: 1, 1628: 1, 143: 1, 37: 2, 192: 1, 68: 1, 26: 1, 73: 1, 19: 1, 14: 1, 33: 1, 44: 1, 7: 1}"
4,14,66,0.8328466290139152,4.860759493670886,72.27848101265823,"{11: 2, 2: 13, 13: 1, 14: 2, 9: 2, 6: 5, 7: 3, 17: 1, 1: 11, 4: 9, 12: 6, 0: 13, 3: 2, 5: 5, 23: 1, 18: 1, 10: 1, 8: 1}","{164: 1, 3: 6, 30: 2, 70: 1, 138: 1, 27: 2, 39: 1, 189: 1, 15: 1, 4: 1, 2: 6, 12: 5, 20: 2, 98: 1, 10: 2, 80: 1, 8: 1, 1679: 1, 0: 13, 50: 1, 5: 3, 9: 1, 6: 1, 1: 5, 82: 1, 22: 2, 580: 1, 1493: 1, 107: 1, 35: 2, 147: 1, 16: 1, 7: 1, 68: 1, 73: 1, 81: 1, 19: 1, 11: 1, 14: 1, 44: 1, 21: 1}"
5,14,65,0.9792799444845541,4.333333333333333,58.333333333333336,"{10: 3, 1: 16, 12: 5, 13: 1, 8: 3, 5: 7, 6: 4, 16: 1, 3: 8, 11: 2, 0: 13, 4: 3, 2: 8, 18: 1, 14: 1, 7: 2}","{118: 1, 2: 7, 22: 2, 62: 1, 113: 1, 12: 3, 24: 1, 23: 1, 160: 1, 5: 3, 1: 6, 7: 2, 11: 2, 9: 3, 79: 1, 73: 2, 6: 2, 1320: 1, 0: 13, 3: 6, 50: 1, 10: 2, 77: 1, 20: 2, 1493: 1, 107: 1, 35: 2, 147: 1, 16: 1, 68: 1, 81: 1, 19: 1, 14: 1, 30: 1, 44: 1, 21: 1}"
6,14,64,1.0334725861249359,4.077922077922078,55.27272727272727,"{10: 5, 1: 17, 11: 1, 12: 4, 7: 4, 4: 5, 6: 4, 15: 1, 3: 6, 2: 9, 0: 13, 5: 5, 18: 1, 14: 1, 8: 1}","{118: 1, 2: 6, 22: 2, 46: 1, 94: 1, 11: 2, 23: 2, 99: 1, 5: 3, 1: 7, 7: 2, 9: 3, 58: 1, 62: 1, 6: 1, 1320: 1, 0: 13, 3: 7, 50: 1, 12: 2, 10: 2, 4: 1, 71: 1, 20: 2, 1493: 1, 107: 1, 35: 2, 16: 1, 68: 1, 73: 1, 81: 1, 19: 1, 14: 1, 30: 1, 44: 1, 21: 1}"
7,16,61,1.0991941077133578,3.8684210526315788,52.89473684210526,"{1: 15, 10: 4, 11: 2, 12: 3, 7: 4, 4: 7, 6: 4, 15: 1, 3: 6, 2: 9, 0: 15, 5: 4, 17: 1, 13: 1}","{2: 6, 22: 1, 46: 1, 94: 1, 11: 2, 23: 2, 99: 1, 5: 3, 1: 6, 7: 2, 9: 3, 58: 1, 62: 1, 6: 1, 1320: 1, 0: 15, 3: 6, 50: 1, 12: 2, 10: 2, 4: 1, 71: 1, 20: 1, 1422: 1, 103: 1, 35: 2, 16: 1, 49: 1, 17: 1, 19: 1, 73: 1, 81: 1, 18: 1, 14: 1, 29: 1, 32: 1, 21: 1}"
8,16,60,1.1879983740334357,3.52,50.96,"{1: 16, 10: 4, 11: 3, 12: 2, 7: 2, 4: 6, 6: 3, 3: 8, 2: 8, 0: 15, 5: 6, 16: 1, 9: 1}","{2: 5, 22: 1, 46: 1, 94: 1, 11: 1, 23: 2, 5: 4, 1: 7, 7: 2, 9: 3, 58: 1, 62: 1, 6: 1, 1320: 1, 0: 15, 3: 6, 50: 2, 12: 3, 10: 3, 4: 1, 71: 1, 20: 1, 1419: 1, 82: 1, 31: 1, 16: 1, 44: 1, 18: 1, 63: 1, 29: 1, 17: 1, 28: 1, 32: 1, 21: 1}"
9,16,59,1.2873504811961853,3.2972972972972974,49.729729729729726,"{1: 17, 10: 3, 11: 3, 12: 1, 7: 2, 4: 8, 6: 2, 3: 7, 2: 8, 0: 15, 5: 5, 9: 1, 15: 1, 8: 1}","{2: 5, 22: 1, 46: 1, 94: 1, 11: 1, 23: 2, 5: 4, 1: 7, 7: 3, 9: 3, 58: 1, 62: 1, 6: 1, 1320: 1, 0: 15, 3: 6, 50: 1, 12: 2, 10: 3, 4: 1, 20: 2, 1365: 1, 81: 1, 29: 3, 16: 1, 42: 1, 18: 1, 63: 1, 49: 1, 17: 1, 26: 1}"
