nodes_removed,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length,average_degree,average_weighted_degree,degree_distribution,weighted_degree_distribution
0,2,90,0.5814185939575757,8.326086956521738,2826.4347826086955,"{14: 2, 17: 1, 2: 11, 4: 6, 11: 4, 20: 4, 16: 3, 12: 3, 9: 6, 10: 1, 13: 3, 19: 2, 22: 1, 1: 16, 7: 3, 3: 9, 8: 2, 5: 4, 6: 4, 34: 1, 28: 1, 42: 1, 31: 1, 15: 3}","{260: 1, 2567: 1, 2: 7, 119164: 1, 380: 1, 512: 1, 278: 1, 130: 1, 1197: 1, 179: 1, 49: 2, 219: 1, 71: 1, 233: 1, 268: 1, 866: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 431: 1, 32: 2, 30: 1, 381: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 2072: 1, 118586: 1, 101: 1, 1317: 1, 642: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
1,3,88,0.676662043876121,7.802197802197802,251.2087912087912,"{13: 4, 16: 2, 2: 8, 3: 10, 10: 2, 19: 4, 11: 4, 8: 5, 9: 4, 12: 2, 21: 1, 15: 5, 1: 18, 6: 4, 5: 4, 4: 7, 0: 1, 34: 1, 42: 1, 31: 1, 20: 2, 7: 1}","{255: 1, 475: 1, 2: 7, 6664: 1, 37: 1, 379: 1, 278: 1, 117: 2, 308: 1, 173: 1, 43: 1, 167: 1, 71: 1, 233: 1, 165: 1, 96: 1, 105: 1, 1: 15, 280: 1, 92: 1, 11: 1, 423: 1, 32: 2, 49: 1, 22: 1, 134: 1, 5: 2, 38: 1, 21: 1, 159: 1, 18: 1, 10: 3, 79: 1, 14: 1, 45: 1, 6: 1, 195: 1, 8: 1, 23: 1, 0: 1, 178: 1, 2072: 1, 101: 1, 1317: 1, 642: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 17: 1}"
2,5,85,0.740576078845878,6.955555555555556,224.73333333333332,"{12: 4, 15: 5, 1: 20, 2: 8, 9: 5, 18: 3, 10: 2, 7: 5, 8: 2, 11: 3, 20: 3, 14: 2, 5: 2, 4: 6, 3: 11, 0: 3, 34: 1, 13: 1, 31: 1, 19: 1, 6: 2}","{87: 1, 420: 1, 1: 16, 6663: 1, 36: 1, 320: 1, 253: 1, 80: 1, 296: 1, 156: 1, 39: 1, 71: 1, 55: 1, 200: 1, 125: 2, 94: 1, 64: 1, 148: 1, 53: 1, 10: 2, 236: 1, 13: 1, 7: 2, 15: 1, 116: 1, 4: 2, 32: 2, 6: 1, 143: 1, 2: 6, 9: 2, 0: 3, 63: 2, 8: 1, 29: 2, 5: 2, 93: 1, 21: 1, 2072: 1, 101: 1, 642: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 16: 1, 52: 2, 17: 1}"
3,6,83,0.8031940064185839,6.337078651685394,212.8314606741573,"{11: 5, 14: 2, 0: 4, 2: 10, 8: 3, 17: 3, 9: 5, 7: 4, 10: 1, 19: 2, 13: 3, 1: 21, 4: 5, 6: 4, 3: 10, 34: 1, 15: 3, 12: 1, 20: 2}","{69: 1, 401: 1, 0: 4, 6663: 1, 24: 1, 162: 1, 234: 1, 75: 1, 281: 1, 156: 1, 14: 1, 46: 1, 33: 1, 138: 2, 93: 1, 79: 1, 48: 1, 1: 16, 26: 2, 10: 2, 223: 1, 11: 1, 5: 2, 13: 1, 64: 1, 4: 2, 32: 2, 2: 6, 96: 1, 9: 2, 61: 2, 3: 7, 7: 1, 90: 1, 21: 1, 125: 1, 2072: 1, 101: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 20: 1, 117: 1, 63: 1, 29: 1, 16: 1, 52: 2, 17: 1}"
4,7,81,0.9910656851167499,5.636363636363637,168.1590909090909,"{10: 3, 13: 3, 0: 5, 1: 25, 7: 3, 16: 3, 8: 3, 6: 5, 9: 4, 18: 1, 12: 3, 3: 9, 5: 2, 2: 9, 19: 1, 15: 3, 20: 2, 4: 2, 11: 2}","{17: 2, 184: 1, 0: 5, 5683: 1, 12: 1, 110: 1, 219: 1, 32: 3, 279: 1, 151: 1, 9: 2, 18: 1, 130: 1, 52: 3, 69: 1, 45: 1, 1: 17, 4: 3, 10: 2, 16: 2, 8: 1, 2: 8, 6: 2, 48: 1, 73: 1, 7: 1, 3: 7, 14: 1, 21: 1, 115: 1, 101: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 117: 1, 63: 1, 29: 1, 5: 1}"
5,9,78,1.0263086991460484,5.35632183908046,165.90804597701148,"{10: 1, 12: 3, 0: 7, 1: 24, 6: 7, 15: 5, 8: 4, 9: 5, 18: 1, 11: 4, 3: 9, 5: 2, 2: 8, 13: 1, 19: 1, 20: 2, 4: 2, 7: 1}","{17: 2, 168: 1, 0: 7, 5683: 1, 11: 1, 93: 1, 179: 1, 32: 2, 275: 1, 151: 1, 9: 3, 15: 1, 30: 1, 115: 2, 52: 3, 24: 1, 45: 1, 1: 16, 4: 3, 16: 2, 8: 1, 2: 9, 6: 2, 39: 1, 67: 1, 7: 1, 3: 6, 14: 1, 101: 1, 5899: 1, 316: 1, 128: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 117: 1, 63: 1, 29: 1, 5: 1, 10: 1}"
6,15,71,1.0769507815081396,4.976744186046512,30.651162790697676,"{10: 2, 11: 4, 0: 13, 5: 5, 15: 4, 12: 2, 7: 3, 14: 1, 8: 3, 9: 4, 17: 1, 1: 19, 2: 9, 6: 4, 3: 7, 13: 1, 20: 2, 4: 2}","{17: 2, 30: 2, 0: 13, 10: 2, 93: 1, 179: 1, 21: 1, 261: 1, 146: 1, 8: 2, 15: 1, 115: 2, 42: 1, 23: 1, 40: 1, 1: 14, 2: 9, 9: 2, 16: 2, 29: 2, 67: 1, 3: 7, 6: 1, 14: 1, 101: 1, 316: 1, 128: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 117: 1, 63: 1, 4: 1, 52: 2, 32: 1, 5: 1}"
7,16,69,1.2266775530375051,4.564705882352941,27.105882352941176,"{9: 4, 10: 3, 0: 14, 4: 6, 14: 2, 11: 3, 7: 2, 13: 2, 5: 3, 8: 4, 16: 1, 6: 3, 1: 20, 2: 8, 15: 2, 12: 1, 20: 1, 3: 6}","{16: 2, 29: 4, 0: 14, 5: 2, 84: 1, 126: 1, 21: 1, 256: 1, 146: 1, 6: 2, 15: 1, 99: 1, 39: 2, 23: 1, 1: 16, 2: 8, 7: 1, 3: 7, 35: 1, 9: 2, 109: 1, 101: 1, 316: 1, 128: 1, 65: 1, 26: 1, 20: 1, 61: 1, 117: 1, 63: 1, 4: 1, 52: 2, 32: 1, 10: 1, 17: 1}"
8,18,66,1.2988993081405829,4.142857142857143,24.642857142857142,"{8: 2, 10: 2, 0: 16, 3: 9, 13: 3, 6: 3, 12: 2, 5: 2, 7: 4, 15: 3, 9: 5, 1: 18, 2: 8, 4: 5, 11: 2}","{15: 1, 29: 2, 0: 16, 4: 2, 78: 1, 114: 1, 18: 1, 255: 1, 146: 1, 3: 7, 14: 1, 25: 1, 50: 1, 30: 1, 20: 2, 36: 1, 1: 15, 2: 8, 5: 3, 28: 1, 31: 1, 9: 2, 100: 1, 101: 1, 316: 1, 128: 1, 65: 1, 26: 1, 61: 1, 63: 1, 16: 1, 52: 2, 32: 1, 10: 1, 17: 1}"
9,18,65,1.394115446029397,3.8795180722891565,22.50602409638554,"{7: 3, 9: 5, 0: 16, 3: 10, 12: 4, 5: 2, 4: 5, 6: 4, 14: 1, 8: 3, 1: 18, 2: 8, 15: 2, 11: 2}","{9: 3, 17: 3, 0: 16, 4: 2, 59: 1, 113: 1, 255: 1, 143: 1, 3: 7, 12: 1, 24: 1, 47: 1, 22: 1, 16: 2, 36: 1, 1: 15, 2: 8, 5: 3, 28: 1, 25: 1, 65: 2, 316: 1, 128: 1, 26: 1, 20: 1, 61: 1, 63: 1, 29: 1, 52: 2, 32: 1, 10: 1}"
