nodes_removed,size_of_largest_component,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length
0,80,1,80,283767.48196202534
1,79,1,79,290971.39759818243
2,76,3,76,303453.9694736842
3,74,4,74,315698.2254720474
4,72,5,72,333591.77699530515
5,71,5,71,338541.44949698186
6,69,6,69,347185.59207161126
7,67,7,67,352829.6463138851
8,65,8,65,367835.71201923076
9,64,8,64,383130.2048611111
10,59,12,59,389430.68848626537
11,57,13,57,401289.20238095237
12,48,15,48,366477.48758865247
13,47,15,47,385723.86031452357
14,45,16,45,390167.6060606061
15,44,16,44,395869.7959830867
16,41,17,41,420094.26097560977
17,35,19,35,401621.50084033614
18,33,20,33,424601.2064393939
19,21,23,21,359517.68095238094
20,20,23,20,370024.6947368421
21,17,24,17,393863.72794117645
22,10,28,10,320674.4888888889
23,7,30,7,252870.7619047619
24,6,31,6,215494.13333333333
25,4,32,4,192403.0
26,4,34,4,192403.0
27,4,36,4,192403.0
28,4,37,4,192403.0
29,4,38,4,192403.0
30,4,39,4,192405.66666666666
31,3,40,3,153925.33333333334
32,2,41,2,115443.0
33,2,40,2,115443.0
34,2,40,2,115444.0
35,2,40,2,115444.0
36,2,39,2,115444.0
37,2,38,2,115444.0
38,2,37,2,115444.0
39,2,37,2,115444.0
40,2,36,2,115444.0
41,2,36,2,115444.0
42,2,35,2,115444.0
43,2,34,2,115444.0
44,2,33,2,115444.0
45,2,33,2,115444.0
46,2,33,2,115443.0
47,2,32,2,115443.0
48,2,31,2,115443.0
49,2,30,2,115443.0
50,1,30,1,0.0
51,1,29,1,0.0
52,1,28,1,0.0
53,1,27,1,0.0
54,1,26,1,0.0
55,1,25,1,0.0
56,1,24,1,0.0
57,1,23,1,0.0
58,1,22,1,0.0
59,1,21,1,0.0
60,1,20,1,0.0
61,1,19,1,0.0
62,1,18,1,0.0
63,1,17,1,0.0
64,1,16,1,0.0
65,1,15,1,0.0
66,1,14,1,0.0
67,1,13,1,0.0
68,1,12,1,0.0
69,1,11,1,0.0
70,1,10,1,0.0
71,1,9,1,0.0
72,1,8,1,0.0
73,1,7,1,0.0
74,1,6,1,0.0
75,1,5,1,0.0
76,1,4,1,0.0
77,1,3,1,0.0
78,1,2,1,0.0
79,1,1,1,0.0
80,0,0,0,inf
