frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.4184466019417476,0.32815533980582523,0.25339805825242717,0.0
0.05,0.8596491228070176,0.4266304347826087,0.4157608695652174,0.15760869565217392,0.09578936260025327
0.1,0.7037037037037037,0.4742857142857143,0.37714285714285717,0.14857142857142858,0.10482662968099862
0.15,0.47058823529411764,0.3368421052631579,0.47368421052631576,0.18947368421052632,0.14552887072049053
0.2,0.25,0.30612244897959184,0.5714285714285714,0.12244897959183673,0.24327323162274617
0.25,0.1111111111111111,0.875,0.125,0.0,0.45655339805825235
0.3,0.047619047619047616,0.0,0.0,0.0,1.0
0.35,0.05128205128205128,0.0,0.0,0.0,1.0
0.4,0.05555555555555555,0.0,0.0,0.0,1.0
0.45,0.06060606060606061,0.0,0.0,0.0,1.0
0.5,0.06666666666666667,0.0,0.0,0.0,1.0
0.55,0.07407407407407407,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
