frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.4184466019417476,0.32815533980582523,0.25339805825242717,0.0
0.05,0.8596491228070176,0.4266304347826087,0.4157608695652174,0.15760869565217392,0.09578936260025327
0.1,0.7037037037037037,0.37058823529411766,0.4823529411764706,0.14705882352941177,0.15419760137064537
0.15,0.35294117647058826,0.4098360655737705,0.45901639344262296,0.13114754098360656,0.13086105363679773
0.2,0.16666666666666666,0.42857142857142855,0.5714285714285714,0.0,0.2533980582524271
0.25,0.06666666666666667,1.0,0.0,0.0,0.5815533980582523
0.3,0.047619047619047616,0.0,0.0,0.0,1.0
0.35,0.05128205128205128,0.0,0.0,0.0,1.0
0.4,0.0,0.0,0.0,0.0,1.0
0.45,0.0,0.0,0.0,0.0,1.0
0.5,0.0,0.0,0.0,0.0,1.0
0.55,0.0,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
