frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,0.96,0.37341772151898733,0.5063291139240507,0.12025316455696203,0.0
0.04,0.8125,0.48360655737704916,0.4262295081967213,0.09016393442622951,0.11018883585806186
0.08,0.4782608695652174,0.4935064935064935,0.4155844155844156,0.09090909090909091,0.12008877198750617
0.12,0.22727272727272727,0.5517241379310345,0.41379310344827586,0.034482758620689655,0.17830641641204717
0.16,0.14285714285714285,0.75,0.25,0.0,0.37658227848101267
0.2,0.1,1.0,0.0,0.0,0.6265822784810127
0.24,0.07894736842105263,1.0,0.0,0.0,0.6265822784810127
0.28,0.05555555555555555,0.0,0.0,0.0,1.0
0.32,0.058823529411764705,0.0,0.0,0.0,1.0
0.36,0.0625,0.0,0.0,0.0,1.0
0.4,0.06666666666666667,0.0,0.0,0.0,1.0
0.44,0.07142857142857142,0.0,0.0,0.0,1.0
0.48,0.07692307692307693,0.0,0.0,0.0,1.0
0.52,0.08333333333333333,0.0,0.0,0.0,1.0
0.56,0.0,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
