frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.4520547945205479,0.4520547945205479,0.0958904109589041,0.0
0.05,1.0,0.42424242424242425,0.48484848484848486,0.09090909090909091,0.0327936903279369
0.1,1.0,0.4153846153846154,0.49230769230769234,0.09230769230769231,0.04025289778714436
0.15,1.0,0.3695652173913043,0.5652173913043478,0.06521739130434782,0.11316259678379988
0.2,1.0,0.4375,0.53125,0.03125,0.07919520547945205
0.25,1.0,0.5,0.4642857142857143,0.03571428571428571,0.06017612524461843
0.3,1.0,0.4166666666666667,0.5416666666666666,0.041666666666666664,0.08961187214611871
0.35,0.8461538461538461,0.3076923076923077,0.6923076923076923,0.0,0.24025289778714434
0.4,0.9166666666666666,0.3076923076923077,0.6923076923076923,0.0,0.24025289778714434
0.45,0.5454545454545454,0.2,0.8,0.0,0.34794520547945207
0.5,0.4,0.0,1.0,0.0,0.547945205479452
0.55,0.4444444444444444,0.0,1.0,0.0,0.547945205479452
0.6,0.5,0.0,1.0,0.0,0.547945205479452
