frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.2289156626506024,0.5851979345955249,0.18588640275387264,0.0
0.04,0.8333333333333334,0.2875536480686695,0.6094420600858369,0.10300429184549356,0.08288211090837908
0.08,0.6739130434782609,0.2975206611570248,0.628099173553719,0.0743801652892562,0.11150623746461646
0.12,0.36363636363636365,0.35555555555555557,0.6,0.044444444444444446,0.14144195830942818
0.16,0.19047619047619047,0.47619047619047616,0.5238095238095238,0.0,0.2472748135398738
0.2,0.125,0.36363636363636365,0.6363636363636364,0.0,0.18588640275387266
0.24,0.10526315789473684,0.5,0.5,0.0,0.27108433734939763
0.28,0.05555555555555555,0.0,0.0,0.0,1.0
0.32,0.058823529411764705,0.0,0.0,0.0,1.0
0.36,0.0625,0.0,0.0,0.0,1.0
0.4,0.06666666666666667,0.0,0.0,0.0,1.0
0.44,0.07142857142857142,0.0,0.0,0.0,1.0
0.48,0.07692307692307693,0.0,0.0,0.0,1.0
0.52,0.08333333333333333,0.0,0.0,0.0,1.0
0.56,0.09090909090909091,0.0,0.0,0.0,1.0
0.6,0.1,0.0,0.0,0.0,1.0
