frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.2289156626506024,0.5851979345955249,0.18588640275387264,0.0
0.04,1.0,0.24354243542435425,0.5682656826568265,0.1881918819188192,0.01693225193869841
0.08,1.0,0.24952380952380954,0.5561904761904762,0.19428571428571428,0.029007458405048744
0.12,1.0,0.2694736842105263,0.5326315789473685,0.19789473684210526,0.05256635564815651
0.16,0.9761904761904762,0.2540415704387991,0.558891454965358,0.18706697459584296,0.026306479630167
0.2,0.95,0.25257731958762886,0.5618556701030928,0.18556701030927836,0.023661656937026446
0.24,0.9473684210526315,0.2565597667638484,0.5597667638483965,0.1836734693877551,0.02764410411324597
0.28,0.9444444444444444,0.244,0.616,0.14,0.04588640275387264
0.32,0.9411764705882353,0.2857142857142857,0.6171428571428571,0.09714285714285714,0.08874354561101548
0.36,0.90625,0.26851851851851855,0.6666666666666666,0.06481481481481481,0.12107158793905784
0.4,0.6,0.3333333333333333,0.6428571428571429,0.023809523809523808,0.16207687894434888
0.44,0.6071428571428571,0.3142857142857143,0.6571428571428571,0.02857142857142857,0.15731497418244408
0.48,0.5769230769230769,0.34782608695652173,0.6521739130434783,0.0,0.18588640275387264
0.52,0.4166666666666667,0.4,0.6,0.0,0.18588640275387264
0.56,0.2727272727272727,0.4166666666666667,0.5833333333333334,0.0,0.18775100401606426
0.6,0.2,0.3333333333333333,0.6666666666666666,0.0,0.18588640275387266
