frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,0.9,0.2845849802371542,0.5770750988142292,0.1383399209486166,0.0
0.05,0.5,0.2676056338028169,0.6619718309859155,0.07042253521126761,0.08489673217168628
0.1,0.2222222222222222,0.42105263157894735,0.5789473684210527,0.0,0.13833992094861658
0.15,0.20588235294117646,0.2222222222222222,0.7777777777777778,0.0,0.20070267896354854
0.2,0.125,0.3333333333333333,0.6666666666666666,0.0,0.13833992094861658
0.25,0.1,0.0,1.0,0.0,0.42292490118577075
0.3,0.07142857142857142,0.0,0.0,0.0,1.0
0.35,0.07692307692307693,0.0,0.0,0.0,1.0
0.4,0.08333333333333333,0.0,0.0,0.0,1.0
0.45,0.09090909090909091,0.0,0.0,0.0,1.0
0.5,0.1,0.0,0.0,0.0,1.0
0.55,0.1111111111111111,0.0,0.0,0.0,1.0
0.6,0.125,0.0,0.0,0.0,1.0
