frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.4990138067061144,0.27218934911242604,0.22879684418145957,0.0
0.05,0.8421052631578947,0.57847533632287,0.27802690582959644,0.14349775784753363,0.08529908633392595
0.1,0.6666666666666666,0.5352112676056338,0.4084507042253521,0.056338028169014086,0.17245881601244548
0.15,0.5588235294117647,0.6451612903225806,0.3548387096774194,0.0,0.22879684418145957
0.2,0.25,0.7058823529411765,0.29411764705882354,0.0,0.2287968441814596
0.25,0.23333333333333334,0.8571428571428571,0.14285714285714285,0.0,0.3581290504367427
0.3,0.07142857142857142,0.0,0.0,0.0,1.0
0.35,0.07692307692307693,0.0,0.0,0.0,1.0
0.4,0.08333333333333333,0.0,0.0,0.0,1.0
0.45,0.09090909090909091,0.0,0.0,0.0,1.0
0.5,0.0,0.0,0.0,0.0,1.0
0.55,0.0,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
