frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.4990138067061144,0.27218934911242604,0.22879684418145957,0.0
0.05,0.9473684210526315,0.550531914893617,0.2473404255319149,0.20212765957446807,0.051518108187502604
0.1,0.8888888888888888,0.5780730897009967,0.20930232558139536,0.21262458471760798,0.07905928299488228
0.15,0.8529411764705882,0.6041666666666666,0.19166666666666668,0.20416666666666666,0.10515285996055225
0.2,0.75,0.673469387755102,0.1836734693877551,0.14285714285714285,0.17445558104898762
0.25,0.7,0.7380952380952381,0.17857142857142858,0.08333333333333333,0.23908143138912374
0.3,0.6071428571428571,0.7205882352941176,0.17647058823529413,0.10294117647058823,0.22157442858800325
0.35,0.5769230769230769,0.6785714285714286,0.19642857142857142,0.125,0.17955762186531418
0.4,0.5416666666666666,0.8064516129032258,0.16129032258064516,0.03225806451612903,0.3074378061971114
0.45,0.5454545454545454,0.7931034482758621,0.1724137931034483,0.034482758620689655,0.2940896415697477
0.5,0.55,0.7391304347826086,0.21739130434782608,0.043478260869565216,0.24011662807649425
0.55,0.5,0.6470588235294118,0.29411764705882354,0.058823529411764705,0.16997331476969488
0.6,0.4375,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.14546351084812625
