frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,0.92,0.15254237288135594,0.8305084745762712,0.01694915254237288,0.0
0.04,0.375,0.1875,0.8125,0.0,0.034957627118644065
0.08,0.2608695652173913,0.125,0.875,0.0,0.04449152542372881
0.12,0.18181818181818182,0.0,1.0,0.0,0.16949152542372883
0.16,0.14285714285714285,0.0,1.0,0.0,0.16949152542372883
0.2,0.1,0.0,0.0,0.0,1.0
0.24,0.10526315789473684,0.0,0.0,0.0,1.0
0.28,0.1111111111111111,0.0,0.0,0.0,1.0
0.32,0.11764705882352941,0.0,0.0,0.0,1.0
0.36,0.125,0.0,0.0,0.0,1.0
0.4,0.13333333333333333,0.0,0.0,0.0,1.0
0.44,0.14285714285714285,0.0,0.0,0.0,1.0
0.48,0.15384615384615385,0.0,0.0,0.0,1.0
0.52,0.16666666666666666,0.0,0.0,0.0,1.0
0.56,0.18181818181818182,0.0,0.0,0.0,1.0
0.6,0.2,0.0,0.0,0.0,1.0
