frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,0.92,0.15254237288135594,0.8305084745762712,0.01694915254237288,0.0
0.04,0.9166666666666666,0.13793103448275862,0.8448275862068966,0.017241379310344827,0.014611338398597325
0.08,0.7391304347826086,0.10909090909090909,0.8727272727272727,0.01818181818181818,0.04345146379044682
0.12,0.6363636363636364,0.0851063829787234,0.8936170212765957,0.02127659574468085,0.06743598990263251
0.16,0.5714285714285714,0.04878048780487805,0.9512195121951219,0.0,0.12071103761885074
0.2,0.6,0.05128205128205128,0.9487179487179487,0.0,0.11820947414167751
0.24,0.15789473684210525,0.0,1.0,0.0,0.16949152542372883
0.28,0.1111111111111111,0.0,0.0,0.0,1.0
0.32,0.11764705882352941,0.0,0.0,0.0,1.0
0.36,0.125,0.0,0.0,0.0,1.0
0.4,0.13333333333333333,0.0,0.0,0.0,1.0
0.44,0.14285714285714285,0.0,0.0,0.0,1.0
0.48,0.15384615384615385,0.0,0.0,0.0,1.0
0.52,0.16666666666666666,0.0,0.0,0.0,1.0
0.56,0.18181818181818182,0.0,0.0,0.0,1.0
0.6,0.2,0.0,0.0,0.0,1.0
