frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,0.9375,0.5694444444444444,0.2916666666666667,0.1388888888888889,0.0
0.0625,0.5666666666666667,0.3939393939393939,0.45454545454545453,0.15151515151515152,0.1755050505050505
0.125,0.35714285714285715,0.5238095238095238,0.38095238095238093,0.09523809523809523,0.08928571428571425
0.1875,0.15384615384615385,0.5,0.5,0.0,0.20833333333333331
0.25,0.08333333333333333,0.0,0.0,0.0,1.0
0.3125,0.09090909090909091,0.0,0.0,0.0,1.0
0.375,0.0,0.0,0.0,0.0,1.0
0.4375,0.0,0.0,0.0,0.0,1.0
0.5,0.0,0.0,0.0,0.0,1.0
0.5625,0.0,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
