frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.3488372093023256,0.5813953488372093,0.06976744186046512,0.0
0.0625,0.6,0.6,0.4,0.0,0.2511627906976744
0.125,0.21428571428571427,0.6666666666666666,0.3333333333333333,0.0,0.3178294573643411
0.1875,0.23076923076923078,0.5,0.5,0.0,0.15116279069767444
0.25,0.25,0.0,1.0,0.0,0.4186046511627907
0.3125,0.18181818181818182,0.0,0.0,0.0,1.0
0.375,0.2,0.0,0.0,0.0,1.0
0.4375,0.2222222222222222,0.0,0.0,0.0,1.0
0.5,0.25,0.0,0.0,0.0,1.0
0.5625,0.2857142857142857,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
