frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.32978723404255317,0.5106382978723404,0.1595744680851064,0.0
0.037037037037037035,0.8461538461538461,0.40540540540540543,0.4594594594594595,0.13513513513513514,0.0756181713628522
0.07407407407407407,0.8,0.39344262295081966,0.5245901639344263,0.08196721311475409,0.07760725497035234
0.1111111111111111,0.7083333333333334,0.3333333333333333,0.5952380952380952,0.07142857142857142,0.088145896656535
0.14814814814814814,0.6521739130434783,0.3181818181818182,0.6818181818181818,0.0,0.1711798839458414
0.18518518518518517,0.5,0.25,0.75,0.0,0.23936170212765961
0.2222222222222222,0.38095238095238093,0.25,0.75,0.0,0.23936170212765961
0.25925925925925924,0.25,0.25,0.75,0.0,0.23936170212765961
0.2962962962962963,0.10526315789473684,0.0,0.0,0.0,1.0
0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,1.0
0.37037037037037035,0.0,0.0,0.0,0.0,1.0
0.4074074074074074,0.0,0.0,0.0,0.0,1.0
0.4444444444444444,0.0,0.0,0.0,0.0,1.0
0.48148148148148145,0.0,0.0,0.0,0.0,1.0
0.5185185185185185,0.0,0.0,0.0,0.0,1.0
0.5555555555555556,0.0,0.0,0.0,0.0,1.0
0.5925925925925926,0.0,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
