frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.5909090909090909,0.3181818181818182,0.09090909090909091,0.0
0.05,0.8947368421052632,0.5714285714285714,0.35714285714285715,0.07142857142857142,0.038961038961039
0.1,0.7222222222222222,0.5294117647058824,0.47058823529411764,0.0,0.15240641711229946
0.15,0.35294117647058826,0.5,0.5,0.0,0.18181818181818185
0.2,0.1875,1.0,0.0,0.0,0.40909090909090917
0.25,0.13333333333333333,0.0,0.0,0.0,1.0
0.3,0.14285714285714285,0.0,0.0,0.0,1.0
0.35,0.15384615384615385,0.0,0.0,0.0,1.0
0.4,0.0,0.0,0.0,0.0,1.0
0.45,0.0,0.0,0.0,0.0,1.0
0.5,0.0,0.0,0.0,0.0,1.0
0.55,0.0,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
